payment_id,transaction_id,invoice_id,payment_date,customer_id,amount,currency,payment_method,status
PAY00024_DUP,TXN00024_DUP,INV00024,2026-08-19,CUST0273,13013.17,INR,WALLET,SUCCESS
PAY00025,TXN00025,INV00025,2026-08-08,CUST0271,42602.23,INR,CARD,SUCCESS
PAY00026,TXN00026,INV00026,2026-08-15,CUST0103,31515.77,INR,NETBANKING,SUCCESS
PAY00027,TXN00027,INV00027,2026-07-16,CUST0062,22857.39,INR,NETBANKING,SUCCESS
PAY00028,TXN00028,INV00028,2026-07-01,CUST0113,7563.81,INR,UPI,SUCCESS
PAY00029,TXN00029,INV00029,2026-08-02,CUST0037,24181.46,INR,WALLET,SUCCESS
PAY00030,TXN00030,INV00030,2026-08-06,CUST0293,47530.77,INR,WALLET,SUCCESS
PAY00031,TXN00031,INV00031,2026-08-12,CUST0050,43389.59,INR,WALLET,SUCCESS
PAY00032,TXN00032,INV00032,2026-07-04,CUST0051,40560.82,INR,NETBANKING,SUCCESS
PAY00033,TXN00033,INV00033,2026-07-13,CUST0099,53860.43,INR,CARD,SUCCESS
PAY00034,TXN00034,INV00034,2026-07-05,CUST0128,44591.51,INR,UPI,SUCCESS
PAY00035,TXN00035,INV00035,2026-08-18,CUST0048,84945.23,INR,CARD,SUCCESS
PAY00036,TXN00036,INV00036,2026-07-04,CUST0206,16881.39,INR,UPI,SUCCESS
PAY00037,TXN00037,INV00037,2026-08-14,CUST0217,95753.11,INR,WALLET,SUCCESS
PAY00038,TXN00038,INV00038,2026-08-07,CUST0030,73705.85,INR,UPI,SUCCESS
PAY00039,TXN00039,INV00039,2026-07-31,CUST0300,50533.61,INR,CARD,SUCCESS
PAY00040,TXN00040,INV00040,2026-07-05,CUST0096,59705.99,INR,CARD,SUCCESS
PAY00041,TXN00041,INV00041,2026-08-08,CUST0297,4454.3,INR,UPI,SUCCESS
PAY00042,TXN00042,INV00042,2026-07-21,CUST0268,93503.27,INR,CARD,SUCCESS
PAY00043,TXN00043,INV00043,2026-07-26,CUST0136,13522.39,INR,NETBANKING,SUCCESS
PAY00044,TXN00044,INV00044,2026-08-09,CUST0235,99846.22,INR,UPI,SUCCESS
PAY00045,TXN00045,INV00045,2026-07-09,CUST0136,93359.31,INR,UPI,SUCCESS
PAY00046,TXN00046,INV00046,2026-08-15,CUST0279,30600.46,INR,UPI,SUCCESS
PAY00047,TXN00047,INV00047,2026-07-09,CUST0054,26814.36,INR,UPI,SUCCESS
PAY00048,TXN00048,INV00048,2026-08-08,CUST0145,21457.65,INR,NETBANKING,SUCCESS
PAY00049,TXN00049,INV00049,2026-08-01,CUST0259,25486.56,INR,UPI,SUCCESS
PAY00050,TXN00050,INV00050,2026-07-01,CUST0023,33688.88,INR,CARD,SUCCESS
PAY00051,TXN00051,INV00051,2026-08-05,CUST0227,70713.91,INR,UPI,SUCCESS
PAY00052,TXN00052,INV00052,2026-07-03,CUST0280,83542.2,INR,CARD,SUCCESS
PAY00053,TXN00053,INV00053,2026-08-20,CUST0187,97233.53,INR,UPI,SUCCESS
PAY00054,TXN00054,INV00054,2026-07-23,CUST0053,78121.57,INR,WALLET,SUCCESS
PAY00055,TXN00055,INV00055,2026-07-27,CUST0091,2966.24,INR,NETBANKING,SUCCESS
PAY00056,TXN00056,INV00056,2026-07-18,CUST0128,16340.19,INR,UPI,SUCCESS
PAY00057,TXN00057,INV00057,2026-07-13,CUST0114,81750.37,INR,WALLET,SUCCESS
PAY00058,TXN00058,INV00058,2026-08-12,CUST0013,19716.41,INR,NETBANKING,SUCCESS
PAY00059,TXN00059,INV00059,2026-08-11,CUST0180,51185.86,INR,NETBANKING,SUCCESS
PAY00059_DUP,TXN00059_DUP,INV00059,2026-08-11,CUST0180,51185.86,INR,NETBANKING,SUCCESS
PAY00060,TXN00060,INV00060,2026-08-07,CUST0092,96272.16,INR,NETBANKING,SUCCESS
PAY00061,TXN00061,INV00061,2026-08-16,CUST0177,78749.6,INR,WALLET,SUCCESS
PAY00062,TXN00062,INV00062,2026-08-06,CUST0198,19412.84,INR,UPI,SUCCESS
PAY00063,TXN00063,INV00063,2026-08-13,CUST0276,72083.28,INR,CARD,SUCCESS
PAY00064,TXN00064,INV00064,2026-08-09,CUST0170,31734.61,INR,UPI,SUCCESS
PAY00065,TXN00065,INV00065,2026-08-12,CUST0159,41135.09,INR,WALLET,SUCCESS
PAY00066,TXN00066,INV00066,2026-07-27,CUST0099,66660.48,INR,WALLET,SUCCESS
PAY00067,TXN00067,INV00067,2026-07-20,CUST0292,40904.48,INR,UPI,SUCCESS
PAY00068,TXN00068,INV00068,2026-08-08,CUST0297,65643.21,INR,WALLET,SUCCESS
PAY00069,TXN00069,INV00069,2026-07-31,CUST0262,79476.67,INR,CARD,SUCCESS
PAY00070,TXN00070,INV00070,2026-07-06,CUST0172,81933.13,INR,CARD,SUCCESS
PAY00071,TXN00071,INV00071,2026-07-02,CUST0076,5098.26,INR,WALLET,SUCCESS
PAY00072,TXN00072,INV00072,2026-08-10,CUST0213,57779.25,INR,WALLET,SUCCESS
PAY00073,TXN00073,INV00073,2026-08-18,CUST0003,86113.84,INR,UPI,SUCCESS
PAY00074,TXN00074,INV00074,2026-07-30,CUST0266,5496.73,INR,CARD,SUCCESS
PAY00075,TXN00075,INV00075,2026-07-30,CUST0069,66923.98,INR,NETBANKING,SUCCESS
PAY00076,TXN00076,INV00076,2026-07-28,CUST0259,83141.63,INR,WALLET,SUCCESS
PAY00077,TXN00077,INV00077,2026-08-10,CUST0127,28092.48,INR,WALLET,SUCCESS
PAY00078,TXN00078,INV00078,2026-08-15,CUST0040,28929.95,INR,NETBANKING,SUCCESS
PAY00079,TXN00079,INV00079,2026-07-10,CUST0071,23510.52,INR,CARD,SUCCESS
PAY00080,TXN00080,INV00080,2026-07-22,CUST0209,54489.81,INR,WALLET,SUCCESS
PAY00081,TXN00081,INV00081,2026-08-14,CUST0300,2443.43,INR,WALLET,SUCCESS
PAY00082,TXN00082,INV00082,2026-07-27,CUST0200,54052.95,INR,CARD,SUCCESS
PAY00083,TXN00083,INV00083,2026-07-02,CUST0249,39191.29,INR,WALLET,SUCCESS
PAY00084,TXN00084,INV00084,2026-07-02,CUST0274,90739.42,INR,UPI,SUCCESS
PAY00085,TXN00085,INV00085,2026-07-12,CUST0237,5503.32,INR,WALLET,SUCCESS
PAY00086,TXN00086,INV00086,2026-08-18,CUST0173,88024.18,INR,NETBANKING,SUCCESS
PAY00087,TXN00087,INV00087,2026-07-31,CUST0042,2428.64,INR,UPI,SUCCESS
PAY00088,TXN00088,INV00088,2026-08-18,CUST0021,3587.48,INR,CARD,SUCCESS
PAY00089,TXN00089,INV00089,2026-07-16,CUST0079,13058.99,INR,UPI,SUCCESS
PAY00090,TXN00090,INV00090,2026-08-19,CUST0132,37205.07,INR,UPI,SUCCESS
PAY00091,TXN00091,INV00091,2026-08-07,CUST0056,3055.0,INR,NETBANKING,SUCCESS
PAY00092,TXN00092,INV00092,2026-07-05,CUST0102,59413.74,INR,CARD,SUCCESS
PAY00093,TXN00093,INV00093,2026-08-20,CUST0062,98392.51,INR,UPI,SUCCESS
PAY00094,TXN00094,INV00094,2026-07-05,CUST0190,50843.1,INR,NETBANKING,SUCCESS
PAY00095,TXN00095,INV00095,2026-07-28,CUST0055,96098.36,INR,WALLET,SUCCESS
PAY00096,TXN00096,INV00096,2026-08-11,CUST0268,27373.2,INR,WALLET,SUCCESS
PAY00097,TXN00097,INV00097,2026-07-21,CUST0138,85245.46,INR,UPI,SUCCESS
PAY00098,TXN00098,INV00098,2026-08-06,CUST0238,61228.0,INR,WALLET,SUCCESS
PAY00099,TXN00099,INV00099,2026-08-01,CUST0094,21605.93,INR,NETBANKING,SUCCESS
PAY00100,TXN00100,INV00100,2026-08-05,CUST0142,1510.04,INR,CARD,SUCCESS
PAY00101,TXN00101,INV00101,2026-08-05,CUST0251,75937.38,INR,WALLET,SUCCESS
PAY00102,TXN00102,INV00102,2026-07-06,CUST0009,29776.44,INR,WALLET,SUCCESS
PAY00103,TXN00103,INV00103,2026-07-24,CUST0298,47589.42,INR,NETBANKING,SUCCESS
PAY00104,TXN00104,INV00104,2026-07-23,CUST0170,70434.07,INR,NETBANKING,SUCCESS
PAY00105,TXN00105,INV00105,2026-07-21,CUST0099,12395.7,INR,CARD,SUCCESS
PAY00106,TXN00106,INV00106,2026-08-16,CUST0142,59163.9,INR,NETBANKING,SUCCESS
PAY00107,TXN00107,INV00107,2026-07-12,CUST0185,30575.63,INR,CARD,SUCCESS
PAY00108,TXN00108,INV00108,2026-08-14,CUST0150,94436.92,INR,WALLET,SUCCESS
PAY00109,TXN00109,INV00109,2026-07-31,CUST0146,48132.06,INR,NETBANKING,SUCCESS
PAY00110,TXN00110,INV00110,2026-07-08,CUST0245,82300.51,INR,WALLET,SUCCESS
PAY00111,TXN00111,INV00111,2026-07-10,CUST0028,15345.16,INR,NETBANKING,SUCCESS
PAY00112,TXN00112,INV00112,2026-08-18,CUST0286,41909.32,INR,CARD,SUCCESS
PAY00113,TXN00113,INV00113,2026-07-20,CUST0227,86086.58,INR,WALLET,SUCCESS
PAY00114,TXN00114,INV00114,2026-08-18,CUST0051,21174.9,INR,CARD,SUCCESS
PAY00115,TXN00115,INV00115,2026-07-12,CUST0123,55423.23,INR,CARD,SUCCESS
PAY00116,TXN00116,INV00116,2026-07-19,CUST0241,3747.67,INR,NETBANKING,SUCCESS
PAY00117,TXN00117,INV00117,2026-08-13,CUST0037,23725.67,INR,NETBANKING,SUCCESS
PAY00118,TXN00118,INV00118,2026-07-28,CUST0102,11920.24,INR,CARD,SUCCESS
PAY00119,TXN00119,INV00119,2026-07-04,CUST0037,17009.32,INR,NETBANKING,SUCCESS
PAY00120,TXN00120,INV00120,2026-07-08,CUST0225,47135.45,INR,NETBANKING,SUCCESS
PAY00121,TXN00121,INV00121,2026-08-01,CUST0277,44057.01,INR,UPI,SUCCESS
PAY00122,TXN00122,INV00122,2026-07-06,CUST0014,23277.98,INR,UPI,SUCCESS
PAY00123,TXN00123,INV00123,2026-07-31,CUST0090,52136.9,INR,WALLET,SUCCESS
PAY00124,TXN00124,INV00124,2026-08-10,CUST0224,81517.37,INR,UPI,SUCCESS
PAY00125,TXN00125,INV00125,2026-08-12,CUST0165,10907.69,INR,CARD,SUCCESS
PAY00126,TXN00126,INV00126,2026-08-12,CUST0148,94546.76,INR,UPI,SUCCESS
PAY00127,TXN00127,INV00127,2026-07-08,CUST0166,97033.38,INR,WALLET,SUCCESS
PAY00128,TXN00128,INV00128,2026-07-27,CUST0237,5893.31,INR,NETBANKING,SUCCESS
PAY00129,TXN00129,INV00129,2026-08-18,CUST0227,5635.37,INR,NETBANKING,SUCCESS
PAY00130,TXN00130,INV00130,2026-07-08,CUST0249,3372.51,INR,CARD,SUCCESS
PAY00131,TXN00131,INV00131,2026-08-05,CUST0008,41095.07,INR,CARD,SUCCESS
PAY00132,TXN00132,INV00132,2026-08-01,CUST0079,93298.98,INR,NETBANKING,SUCCESS
PAY00133,TXN00133,INV00133,2026-07-31,CUST0248,24751.23,INR,CARD,SUCCESS
PAY00134,TXN00134,INV00134,2026-07-05,CUST0070,27986.62,INR,WALLET,SUCCESS
PAY00135,TXN00135,INV00135,2026-07-19,CUST0002,72742.07,INR,WALLET,SUCCESS
PAY00136,TXN00136,INV00136,2026-08-05,CUST0171,76405.83,INR,WALLET,SUCCESS
PAY00137,TXN00137,INV00137,2026-08-06,CUST0123,38605.6,INR,WALLET,SUCCESS
PAY00138,TXN00138,INV00138,2026-07-25,CUST0196,98847.19,INR,CARD,SUCCESS
PAY00139,TXN00139,INV00139,2026-08-07,CUST0258,33533.47,INR,UPI,SUCCESS
PAY00140,TXN00140,INV00140,2026-07-01,CUST0234,72383.16,INR,WALLET,SUCCESS
PAY00141,TXN00141,INV00141,2026-07-22,CUST0136,62514.31,INR,WALLET,SUCCESS
PAY00142,TXN00142,INV00142,2026-07-25,CUST0274,95436.89,INR,WALLET,SUCCESS
PAY00143,TXN00143,INV00143,2026-07-15,CUST0148,74803.25,INR,WALLET,SUCCESS
PAY00144,TXN00144,INV00144,2026-07-11,CUST0228,69553.12,INR,UPI,SUCCESS
PAY00145,TXN00145,INV00145,2026-07-24,CUST0184,43353.34,INR,CARD,SUCCESS
PAY00146,TXN00146,INV00146,2026-07-11,CUST0093,17919.4,INR,WALLET,SUCCESS
PAY00147,TXN00147,INV00147,2026-07-10,CUST0299,23602.75,INR,NETBANKING,SUCCESS
PAY00148,TXN00148,INV00148,2026-07-19,CUST0239,67922.28,INR,CARD,SUCCESS
PAY00149,TXN00149,INV00149,2026-08-10,CUST0154,96221.89,INR,NETBANKING,SUCCESS
PAY00150,TXN00150,INV00150,2026-07-31,CUST0197,11112.0,INR,WALLET,SUCCESS
PAY00151,TXN00151,INV00151,2026-07-02,CUST0152,97805.48,INR,WALLET,SUCCESS
PAY00152,TXN00152,INV00152,2026-08-08,CUST0026,74644.63,INR,NETBANKING,SUCCESS
PAY00153,TXN00153,INV00153,2026-07-15,CUST0181,63843.48,INR,NETBANKING,SUCCESS
PAY00154,TXN00154,INV00154,2026-08-10,CUST0071,10167.81,INR,UPI,SUCCESS
PAY00155,TXN00155,INV00155,2026-07-24,CUST0297,73369.8,INR,UPI,SUCCESS
PAY00156,TXN00156,INV00156,2026-07-12,CUST0213,20479.08,INR,NETBANKING,SUCCESS
PAY00157,TXN00157,INV00157,2026-07-31,CUST0132,96754.72,INR,NETBANKING,SUCCESS
PAY00158,TXN00158,INV00158,2026-07-05,CUST0240,14505.32,INR,CARD,SUCCESS
PAY00159,TXN00159,INV00159,2026-07-24,CUST0286,9485.14,INR,WALLET,SUCCESS
PAY00160,TXN00160,INV00160,2026-07-24,CUST0233,67446.42,INR,NETBANKING,SUCCESS
PAY00161,TXN00161,INV00161,2026-08-13,CUST0056,23765.28,INR,UPI,SUCCESS
PAY00162,TXN00162,INV00162,2026-08-11,CUST0114,6790.1,INR,WALLET,SUCCESS
PAY00163,TXN00163,INV00163,2026-07-08,CUST0210,14407.81,INR,UPI,SUCCESS
PAY00164,TXN00164,INV00164,2026-07-16,CUST0050,88782.3,INR,CARD,SUCCESS
PAY00165,TXN00165,INV00165,2026-07-27,CUST0277,58940.36,INR,CARD,SUCCESS
PAY00166,TXN00166,INV00166,2026-07-18,CUST0209,3755.27,INR,NETBANKING,SUCCESS
PAY00167,TXN00167,INV00167,2026-07-07,CUST0186,98102.31,INR,NETBANKING,SUCCESS
PAY00168,TXN00168,INV00168,2026-07-26,CUST0032,27950.2,INR,UPI,SUCCESS
PAY00168_DUP,TXN00168_DUP,INV00168,2026-07-26,CUST0032,27950.2,INR,UPI,SUCCESS
PAY00169,TXN00169,INV00169,2026-08-11,CUST0109,64129.55,INR,UPI,SUCCESS
PAY00170,TXN00170,INV00170,2026-08-20,CUST0065,56675.51,INR,UPI,SUCCESS
PAY00171,TXN00171,INV00171,2026-07-15,CUST0111,33191.68,INR,CARD,SUCCESS
PAY00172,TXN00172,INV00172,2026-07-10,CUST0142,98758.97,INR,NETBANKING,SUCCESS
PAY00173,TXN00173,INV00173,2026-07-09,CUST0014,1978.6,INR,CARD,SUCCESS
PAY00174,TXN00174,INV00174,2026-07-04,CUST0136,13112.48,INR,WALLET,SUCCESS
PAY00175,TXN00175,INV00175,2026-07-29,CUST0244,77912.7,INR,UPI,SUCCESS
PAY00176,TXN00176,INV00176,2026-08-16,CUST0023,78431.09,INR,NETBANKING,SUCCESS
PAY00177,TXN00177,INV00177,2026-07-26,CUST0246,42914.23,INR,UPI,SUCCESS
PAY00178,TXN00178,INV00178,2026-07-21,CUST0042,61025.59,INR,UPI,SUCCESS
PAY00179,TXN00179,INV00179,2026-08-05,CUST0300,71359.2,INR,WALLET,SUCCESS
PAY00180,TXN00180,INV00180,2026-08-08,CUST0259,43304.83,INR,UPI,SUCCESS
PAY00181,TXN00181,INV00181,2026-07-28,CUST0111,45429.71,INR,CARD,SUCCESS
PAY00182,TXN00182,INV00182,2026-08-16,CUST0213,9961.04,INR,WALLET,SUCCESS
PAY00183,TXN00183,INV00183,2026-08-13,CUST0079,92337.01,INR,UPI,SUCCESS
PAY00184,TXN00184,INV00184,2026-07-07,CUST0222,74586.6,INR,NETBANKING,SUCCESS
PAY00185,TXN00185,INV00185,2026-08-05,CUST0288,33299.78,INR,UPI,SUCCESS
PAY00186,TXN00186,INV00186,2026-07-19,CUST0027,60240.8,INR,NETBANKING,SUCCESS
PAY00187,TXN00187,INV00187,2026-08-12,CUST0080,48477.84,INR,UPI,SUCCESS
PAY00188,TXN00188,INV00188,2026-08-18,CUST0059,28217.54,INR,CARD,SUCCESS
PAY00189,TXN00189,INV00189,2026-07-02,CUST0286,61094.99,INR,NETBANKING,SUCCESS
PAY00190,TXN00190,INV00190,2026-07-22,CUST0159,35426.83,INR,CARD,SUCCESS
PAY00191,TXN00191,INV00191,2026-08-17,CUST0073,63500.62,INR,UPI,SUCCESS
PAY00192,TXN00192,INV00192,2026-07-27,CUST0193,45637.76,INR,CARD,SUCCESS
PAY00193,TXN00193,INV00193,2026-08-08,CUST0291,8953.23,INR,UPI,SUCCESS
PAY00194,TXN00194,INV00194,2026-07-18,CUST0042,44589.74,INR,WALLET,SUCCESS
PAY00195,TXN00195,INV00195,2026-07-14,CUST0140,75616.84,INR,UPI,SUCCESS
PAY00196,TXN00196,INV00196,2026-08-03,CUST0250,66879.69,INR,UPI,SUCCESS
PAY00197,TXN00197,INV00197,2026-07-14,CUST0004,30491.23,INR,CARD,SUCCESS
PAY00198,TXN00198,INV00198,2026-07-08,CUST0168,1269.13,INR,WALLET,SUCCESS
PAY00199,TXN00199,INV00199,2026-08-02,CUST0118,56092.99,INR,NETBANKING,SUCCESS
PAY00200,TXN00200,INV00200,2026-07-02,CUST0224,46245.55,INR,UPI,SUCCESS
PAY00201,TXN00201,INV00201,2026-07-19,CUST0214,11959.75,INR,UPI,SUCCESS
PAY00202,TXN00202,INV00202,2026-07-06,CUST0186,43952.82,INR,UPI,SUCCESS
PAY00203,TXN00203,INV00203,2026-07-06,CUST0269,39878.79,INR,NETBANKING,SUCCESS
PAY00204,TXN00204,INV00204,2026-07-05,CUST0087,51293.09,INR,UPI,SUCCESS
PAY00205,TXN00205,INV00205,2026-08-16,CUST0180,95843.22,INR,CARD,SUCCESS
PAY00206,TXN00206,INV00206,2026-07-12,CUST0102,60438.7,INR,UPI,SUCCESS
PAY00207,TXN00207,INV00207,2026-08-18,CUST0238,56591.68,INR,WALLET,SUCCESS
PAY00208,TXN00208,INV00208,2026-08-10,CUST0166,31955.82,INR,WALLET,SUCCESS
PAY00209,TXN00209,INV00209,2026-08-20,CUST0156,27830.03,INR,UPI,SUCCESS
PAY00210,TXN00210,INV00210,2026-07-29,CUST0237,4241.92,INR,NETBANKING,SUCCESS
PAY00211,TXN00211,INV00211,2026-08-09,CUST0047,59610.94,INR,WALLET,SUCCESS
PAY00212,TXN00212,INV00212,2026-07-29,CUST0022,90950.47,INR,CARD,SUCCESS
PAY00213,TXN00213,INV00213,2026-07-04,CUST0078,45327.05,INR,NETBANKING,SUCCESS
PAY00214,TXN00214,INV00214,2026-07-16,CUST0021,70908.36,INR,WALLET,SUCCESS
PAY00215,TXN00215,INV00215,2026-07-24,CUST0187,91834.71,INR,WALLET,SUCCESS
PAY00216,TXN00216,INV00216,2026-08-20,CUST0027,63273.21,INR,NETBANKING,SUCCESS
PAY00217,TXN00217,INV00217,2026-07-19,CUST0198,25573.58,INR,CARD,SUCCESS
PAY00218,TXN00218,INV00218,2026-07-23,CUST0073,31368.06,INR,WALLET,SUCCESS
PAY00219,TXN00219,INV00219,2026-08-05,CUST0159,37979.59,INR,NETBANKING,SUCCESS
PAY00220,TXN00220,INV00220,2026-07-06,CUST0270,64779.47,INR,WALLET,SUCCESS
PAY00221,TXN00221,INV00221,2026-07-12,CUST0159,95141.35,INR,NETBANKING,SUCCESS
PAY00221_DUP,TXN00221_DUP,INV00221,2026-07-12,CUST0159,95141.35,INR,NETBANKING,SUCCESS
PAY00222,TXN00222,INV00222,2026-07-09,CUST0116,15917.04,INR,NETBANKING,SUCCESS
PAY00223,TXN00223,INV00223,2026-08-17,CUST0277,88426.38,INR,UPI,SUCCESS
PAY00224,TXN00224,INV00224,2026-07-10,CUST0193,16643.6,INR,CARD,SUCCESS
PAY00225,TXN00225,INV00225,2026-08-13,CUST0187,72098.77,INR,WALLET,SUCCESS
PAY00226,TXN00226,INV00226,2026-08-04,CUST0120,24297.27,INR,WALLET,SUCCESS
PAY00227,TXN00227,INV00227,2026-07-29,CUST0293,46437.16,INR,NETBANKING,SUCCESS
PAY00228,TXN00228,INV00228,2026-07-11,CUST0215,81780.68,INR,CARD,SUCCESS
PAY00229,TXN00229,INV00229,2026-08-05,CUST0191,93462.21,INR,UPI,SUCCESS
PAY00230,TXN00230,INV00230,2026-08-02,CUST0231,15161.19,INR,WALLET,SUCCESS
PAY00231,TXN00231,INV00231,2026-07-02,CUST0179,41782.24,INR,WALLET,SUCCESS
PAY00232,TXN00232,INV00232,2026-07-24,CUST0042,22841.61,INR,NETBANKING,SUCCESS
PAY00232_DUP,TXN00232_DUP,INV00232,2026-07-24,CUST0042,22841.61,INR,NETBANKING,SUCCESS
PAY00233,TXN00233,INV00233,2026-08-20,CUST0172,15031.91,INR,UPI,SUCCESS
PAY00234,TXN00234,INV00234,2026-08-18,CUST0072,70700.85,INR,WALLET,SUCCESS
PAY00235,TXN00235,INV00235,2026-07-14,CUST0132,83578.83,INR,WALLET,SUCCESS
PAY00236,TXN00236,INV00236,2026-07-08,CUST0155,5251.07,INR,WALLET,SUCCESS
PAY00237,TXN00237,INV00237,2026-07-08,CUST0033,83750.43,INR,WALLET,SUCCESS
PAY00238,TXN00238,INV00238,2026-08-06,CUST0264,24572.84,INR,CARD,SUCCESS
PAY00239,TXN00239,INV00239,2026-07-16,CUST0181,57281.04,INR,CARD,SUCCESS
PAY00240,TXN00240,INV00240,2026-07-05,CUST0185,95363.67,INR,UPI,SUCCESS
PAY00241,TXN00241,INV00241,2026-07-24,CUST0199,25738.2,INR,UPI,SUCCESS
PAY00242,TXN00242,INV00242,2026-08-16,CUST0124,65881.89,INR,UPI,SUCCESS
PAY00243,TXN00243,INV00243,2026-07-03,CUST0069,35553.76,INR,NETBANKING,SUCCESS
PAY00244,TXN00244,INV00244,2026-08-14,CUST0238,48113.85,INR,CARD,SUCCESS
PAY00245,TXN00245,INV00245,2026-07-03,CUST0235,29697.54,INR,UPI,SUCCESS
PAY00246,TXN00246,INV00246,2026-08-02,CUST0159,40123.29,INR,WALLET,SUCCESS
PAY00247,TXN00247,INV00247,2026-07-23,CUST0147,86282.78,INR,UPI,SUCCESS
PAY00248,TXN00248,INV00248,2026-07-28,CUST0189,89003.91,INR,WALLET,SUCCESS
PAY00249,TXN00249,INV00249,2026-08-14,CUST0255,50003.58,INR,NETBANKING,SUCCESS
PAY00250,TXN00250,INV00250,2026-07-28,CUST0041,60444.1,INR,CARD,SUCCESS
PAY00251,TXN00251,INV00251,2026-07-21,CUST0041,66261.46,INR,NETBANKING,SUCCESS
PAY00252,TXN00252,INV00252,2026-08-14,CUST0086,44668.88,INR,WALLET,SUCCESS
PAY00253,TXN00253,INV00253,2026-07-18,CUST0223,64127.2,INR,UPI,SUCCESS
PAY00254,TXN00254,INV00254,2026-08-02,CUST0187,80209.05,INR,CARD,SUCCESS
PAY00255,TXN00255,INV00255,2026-07-03,CUST0225,13059.89,INR,CARD,SUCCESS
PAY00256,TXN00256,INV00256,2026-08-06,CUST0197,3722.34,INR,CARD,SUCCESS
PAY00257,TXN00257,INV00257,2026-08-18,CUST0228,8150.1,INR,CARD,SUCCESS
PAY00258,TXN00258,INV00258,2026-07-16,CUST0143,96071.75,INR,UPI,SUCCESS
PAY00259,TXN00259,INV00259,2026-08-05,CUST0199,12217.22,INR,NETBANKING,SUCCESS
PAY00260,TXN00260,INV00260,2026-08-14,CUST0147,91689.65,INR,WALLET,SUCCESS
PAY00261,TXN00261,INV00261,2026-07-12,CUST0232,89918.56,INR,WALLET,SUCCESS
PAY00262,TXN00262,INV00262,2026-08-05,CUST0034,54446.05,INR,NETBANKING,SUCCESS
PAY00263,TXN00263,INV00263,2026-08-20,CUST0090,36468.47,INR,CARD,SUCCESS
PAY00264,TXN00264,INV00264,2026-08-20,CUST0122,49655.18,INR,NETBANKING,SUCCESS
PAY00265,TXN00265,INV00265,2026-07-09,CUST0283,61388.86,INR,UPI,SUCCESS
PAY00266,TXN00266,INV00266,2026-08-03,CUST0246,41374.11,INR,WALLET,SUCCESS
PAY00267,TXN00267,INV00267,2026-08-11,CUST0163,7879.42,INR,WALLET,SUCCESS
PAY00268,TXN00268,INV00268,2026-08-10,CUST0283,58984.71,INR,CARD,SUCCESS
PAY00269,TXN00269,INV00269,2026-07-10,CUST0266,30760.39,INR,CARD,SUCCESS
PAY00270,TXN00270,INV00270,2026-08-03,CUST0178,89545.13,INR,UPI,SUCCESS
PAY00271,TXN00271,INV00271,2026-07-09,CUST0141,62689.72,INR,UPI,SUCCESS
PAY00272,TXN00272,INV00272,2026-07-10,CUST0298,17534.46,INR,NETBANKING,SUCCESS
