payment_id,transaction_id,invoice_id,payment_date,customer_id,amount,currency,payment_method,status_payment,settlement_id,settlement_date,settled_amount,fees,tax,status_settlement,customer_id_invoice,invoice_amount,paid_amount,status,issues,is_reconciled,reconciliation_status
PAY00030,TXN00030,INV00030,2026-08-06,CUST0293,47530.77,INR,WALLET,SUCCESS,SET00030,2026-08-07,47530.77,712.96,128.33,SETTLED,CUST0293,47530.77,47530.77,PAID,NONE,True,MATCHED
PAY00031,TXN00031,INV00031,2026-08-12,CUST0050,43389.59,INR,WALLET,SUCCESS,SET00031,2026-08-13,43389.59,650.84,117.15,SETTLED,CUST0050,43389.59,43389.59,PAID,NONE,True,MATCHED
PAY00032,TXN00032,INV00032,2026-07-04,CUST0051,40560.82,INR,NETBANKING,SUCCESS,SET00032,2026-07-05,40560.82,608.41,109.51,SETTLED,CUST0051,40560.82,40560.82,PAID,NONE,True,MATCHED
PAY00033,TXN00033,INV00033,2026-07-13,CUST0099,53860.43,INR,CARD,SUCCESS,SET00033,2026-07-15,53860.43,807.91,145.42,SETTLED,CUST0099,53860.43,53860.43,PAID,NONE,True,MATCHED
PAY00034,TXN00034,INV00034,2026-07-05,CUST0128,44591.51,INR,UPI,SUCCESS,SET00034,2026-07-06,44591.51,668.87,120.4,SETTLED,CUST0128,44591.51,44591.51,PAID,NONE,True,MATCHED
PAY00035,TXN00035,INV00035,2026-08-18,CUST0048,84945.23,INR,CARD,SUCCESS,SET00035,2026-08-19,84945.23,1274.18,229.35,SETTLED,CUST0048,84945.23,84945.23,PAID,NONE,True,MATCHED
PAY00036,TXN00036,INV00036,2026-07-04,CUST0206,16881.39,INR,UPI,SUCCESS,SET00036,2026-07-15,16881.39,253.22,45.58,SETTLED,CUST0206,16881.39,16881.39,PAID,DELAYED_SETTLEMENT,False,EXCEPTION
PAY00037,TXN00037,INV00037,2026-08-14,CUST0217,95753.11,INR,WALLET,SUCCESS,SET00037,2026-08-15,95753.11,1436.3,258.53,SETTLED,CUST0217,95753.11,95753.11,PAID,NONE,True,MATCHED
PAY00038,TXN00038,INV00038,2026-08-07,CUST0030,73705.85,INR,UPI,SUCCESS,SET00038,2026-08-08,73705.85,1105.59,199.01,SETTLED,CUST0030,73705.85,73705.85,PAID,NONE,True,MATCHED
PAY00039,TXN00039,INV00039,2026-07-31,CUST0300,50533.61,INR,CARD,SUCCESS,SET00039,2026-08-01,50533.61,758.0,136.44,SETTLED,CUST0300,50533.61,50533.61,PAID,NONE,True,MATCHED
PAY00040,TXN00040,INV00040,2026-07-05,CUST0096,59705.99,INR,CARD,SUCCESS,SET00040,2026-07-06,59705.99,895.59,161.21,SETTLED,CUST0096,59705.99,59705.99,PAID,NONE,True,MATCHED
PAY00041,TXN00041,INV00041,2026-08-08,CUST0297,4454.3,INR,UPI,SUCCESS,SET00041,2026-08-11,4454.3,66.81,12.03,SETTLED,CUST0297,4454.3,4454.3,PAID,NONE,True,MATCHED
PAY00042,TXN00042,INV00042,2026-07-21,CUST0268,93503.27,INR,CARD,SUCCESS,SET00042,2026-07-22,93503.27,1402.55,252.46,SETTLED,CUST0268,93503.27,93503.27,PAID,NONE,True,MATCHED
PAY00043,TXN00043,INV00043,2026-07-26,CUST0136,13522.39,INR,NETBANKING,SUCCESS,SET00043,2026-07-27,13522.39,202.84,36.51,SETTLED,CUST0136,13522.39,13522.39,PAID,NONE,True,MATCHED
PAY00044,TXN00044,INV00044,2026-08-09,CUST0235,99846.22,INR,UPI,SUCCESS,SET00044,2026-08-12,99846.22,1497.69,269.58,SETTLED,CUST0235,99846.22,99846.22,PAID,NONE,True,MATCHED
PAY00045,TXN00045,INV00045,2026-07-09,CUST0136,93359.31,INR,UPI,SUCCESS,SET00045,2026-07-11,92959.59,1400.39,252.07,SETTLED,CUST0136,93359.31,93359.31,PAID,AMOUNT_MISMATCH,False,EXCEPTION
PAY00046,TXN00046,INV00046,2026-08-15,CUST0279,30600.46,INR,UPI,SUCCESS,SET00046,2026-08-17,30600.46,459.01,82.62,SETTLED,CUST0279,30600.46,30600.46,PAID,NONE,True,MATCHED
PAY00047,TXN00047,INV00047,2026-07-09,CUST0054,26814.36,INR,UPI,SUCCESS,SET00047,2026-07-11,26814.36,402.22,72.4,SETTLED,CUST0054,26814.36,26814.36,PAID,NONE,True,MATCHED
PAY00048,TXN00048,INV00048,2026-08-08,CUST0145,21457.65,INR,NETBANKING,SUCCESS,SET00048,2026-08-10,21457.65,321.86,57.93,SETTLED,CUST0145,21457.65,21457.65,PAID,NONE,True,MATCHED
PAY00049,TXN00049,INV00049,2026-08-01,CUST0259,25486.56,INR,UPI,SUCCESS,SET00049,2026-08-03,25486.56,382.3,68.81,SETTLED,CUST0259,25486.56,25486.56,PAID,NONE,True,MATCHED
PAY00050,TXN00050,INV00050,2026-07-01,CUST0023,33688.88,INR,CARD,SUCCESS,SET00050,2026-07-02,33688.88,505.33,90.96,SETTLED,CUST0023,33688.88,33688.88,PAID,NONE,True,MATCHED
PAY00051,TXN00051,INV00051,2026-08-05,CUST0227,70713.91,INR,UPI,SUCCESS,SET00051,2026-08-06,70713.91,1060.71,190.93,SETTLED,CUST0227,70713.91,70713.91,PAID,NONE,True,MATCHED
PAY00052,TXN00052,INV00052,2026-07-03,CUST0280,83542.2,INR,CARD,SUCCESS,SET00052,2026-07-05,83542.2,1253.13,225.56,SETTLED,CUST0280,83542.2,83542.2,PAID,NONE,True,MATCHED
PAY00053,TXN00053,INV00053,2026-08-20,CUST0187,97233.53,INR,UPI,SUCCESS,SET00053,2026-08-23,96659.42,1458.5,262.53,SETTLED,CUST0187,97233.53,97233.53,PAID,AMOUNT_MISMATCH,False,EXCEPTION
PAY00054,TXN00054,INV00054,2026-07-23,CUST0053,78121.57,INR,WALLET,SUCCESS,SET00054,2026-07-24,78121.57,1171.82,210.93,SETTLED,CUST0053,81994.22,78121.57,PAID,INVOICE_MISMATCH,False,EXCEPTION
PAY00055,TXN00055,INV00055,2026-07-27,CUST0091,2966.24,INR,NETBANKING,SUCCESS,SET00055,2026-07-30,2966.24,44.49,8.01,SETTLED,CUST0091,2966.24,2966.24,PAID,NONE,True,MATCHED
PAY00056,TXN00056,INV00056,2026-07-18,CUST0128,16340.19,INR,UPI,SUCCESS,SET00056,2026-07-20,16340.19,245.1,44.12,SETTLED,CUST0128,16340.19,16340.19,PAID,NONE,True,MATCHED
PAY00057,TXN00057,INV00057,2026-07-13,CUST0114,81750.37,INR,WALLET,SUCCESS,SET00057,2026-07-14,81750.37,1226.26,220.73,SETTLED,CUST0114,81750.37,81750.37,PAID,NONE,True,MATCHED
PAY00058,TXN00058,INV00058,2026-08-12,CUST0013,19716.41,INR,NETBANKING,SUCCESS,SET00058,2026-08-14,19716.41,295.75,53.23,SETTLED,CUST0013,19716.41,19716.41,PAID,NONE,True,MATCHED
PAY00059,TXN00059,INV00059,2026-08-11,CUST0180,51185.86,INR,NETBANKING,SUCCESS,SET00059,2026-08-13,51185.86,767.79,138.2,SETTLED,CUST0180,51185.86,51185.86,PAID,DUPLICATE_PAYMENT,False,EXCEPTION
PAY00059_DUP,TXN00059_DUP,INV00059,2026-08-11,CUST0180,51185.86,INR,NETBANKING,SUCCESS,,,,,,,CUST0180,51185.86,51185.86,PAID,MISSING_SETTLEMENT;DUPLICATE_PAYMENT,False,EXCEPTION
PAY00060,TXN00060,INV00060,2026-08-07,CUST0092,96272.16,INR,NETBANKING,SUCCESS,SET00060,2026-08-09,96272.16,1444.08,259.93,SETTLED,CUST0092,96272.16,96272.16,PAID,NONE,True,MATCHED
PAY00061,TXN00061,INV00061,2026-08-16,CUST0177,78749.6,INR,WALLET,SUCCESS,SET00061,2026-08-17,78749.6,1181.24,212.62,SETTLED,CUST0177,78749.6,78749.6,PAID,NONE,True,MATCHED
PAY00062,TXN00062,INV00062,2026-08-06,CUST0198,19412.84,INR,UPI,SUCCESS,SET00062,2026-08-09,19412.84,291.19,52.41,SETTLED,CUST0198,19412.84,19412.84,PAID,NONE,True,MATCHED
PAY00063,TXN00063,INV00063,2026-08-13,CUST0276,72083.28,INR,CARD,SUCCESS,SET00063,2026-08-16,72083.28,1081.25,194.62,SETTLED,CUST0276,72083.28,72083.28,PAID,NONE,True,MATCHED
PAY00064,TXN00064,INV00064,2026-08-09,CUST0170,31734.61,INR,UPI,SUCCESS,SET00064,2026-08-12,31734.61,476.02,85.68,SETTLED,CUST0170,31734.61,31734.61,PAID,NONE,True,MATCHED
PAY00065,TXN00065,INV00065,2026-08-12,CUST0159,41135.09,INR,WALLET,SUCCESS,SET00065,2026-08-13,41135.09,617.03,111.07,SETTLED,CUST0159,41135.09,41135.09,PAID,NONE,True,MATCHED
PAY00066,TXN00066,INV00066,2026-07-27,CUST0099,66660.48,INR,WALLET,SUCCESS,SET00066,2026-07-30,66660.48,999.91,179.98,SETTLED,CUST0099,66660.48,66660.48,PAID,NONE,True,MATCHED
PAY00067,TXN00067,INV00067,2026-07-20,CUST0292,40904.48,INR,UPI,SUCCESS,SET00067,2026-07-22,40904.48,613.57,110.44,SETTLED,CUST0292,40904.48,40904.48,PAID,NONE,True,MATCHED
PAY00068,TXN00068,INV00068,2026-08-08,CUST0297,65643.21,INR,WALLET,SUCCESS,SET00068,2026-08-09,65643.21,984.65,177.24,SETTLED,CUST0297,65643.21,65643.21,PAID,NONE,True,MATCHED
PAY00069,TXN00069,INV00069,2026-07-31,CUST0262,79476.67,INR,CARD,SUCCESS,SET00069,2026-08-03,79476.67,1192.15,214.59,SETTLED,CUST0262,79476.67,79476.67,PAID,NONE,True,MATCHED
PAY00070,TXN00070,INV00070,2026-07-06,CUST0172,81933.13,INR,CARD,SUCCESS,SET00070,2026-07-07,81933.13,1229.0,221.22,SETTLED,CUST0172,81933.13,81933.13,PAID,NONE,True,MATCHED
PAY00071,TXN00071,INV00071,2026-07-02,CUST0076,5098.26,INR,WALLET,SUCCESS,SET00071,2026-07-04,5098.26,76.47,13.76,SETTLED,CUST0076,5098.26,5098.26,PAID,NONE,True,MATCHED
PAY00072,TXN00072,INV00072,2026-08-10,CUST0213,57779.25,INR,WALLET,SUCCESS,SET00072,2026-08-11,57779.25,866.69,156.0,SETTLED,CUST0213,57779.25,57779.25,PAID,NONE,True,MATCHED
PAY00073,TXN00073,INV00073,2026-08-18,CUST0003,86113.84,INR,UPI,SUCCESS,SET00073,2026-08-19,86113.84,1291.71,232.51,SETTLED,CUST0003,86113.84,86113.84,PAID,NONE,True,MATCHED
PAY00074,TXN00074,INV00074,2026-07-30,CUST0266,5496.73,INR,CARD,SUCCESS,,,,,,,CUST0266,5496.73,5496.73,PAID,MISSING_SETTLEMENT,False,EXCEPTION
PAY00075,TXN00075,INV00075,2026-07-30,CUST0069,66923.98,INR,NETBANKING,SUCCESS,SET00075,2026-08-02,66923.98,1003.86,180.69,SETTLED,CUST0069,71435.4,66923.98,PAID,INVOICE_MISMATCH,False,EXCEPTION
PAY00076,TXN00076,INV00076,2026-07-28,CUST0259,83141.63,INR,WALLET,SUCCESS,SET00076,2026-07-30,82186.5,1247.12,224.48,SETTLED,CUST0259,83141.63,83141.63,PAID,AMOUNT_MISMATCH,False,EXCEPTION
PAY00077,TXN00077,INV00077,2026-08-10,CUST0127,28092.48,INR,WALLET,SUCCESS,SET00077,2026-08-12,28092.48,421.39,75.85,SETTLED,CUST0127,28092.48,28092.48,PAID,NONE,True,MATCHED
PAY00078,TXN00078,INV00078,2026-08-15,CUST0040,28929.95,INR,NETBANKING,SUCCESS,SET00078,2026-08-16,28929.95,433.95,78.11,SETTLED,CUST0040,28929.95,28929.95,PAID,NONE,True,MATCHED
PAY00079,TXN00079,INV00079,2026-07-10,CUST0071,23510.52,INR,CARD,SUCCESS,SET00079,2026-07-12,23510.52,352.66,63.48,SETTLED,CUST0071,23510.52,23510.52,PAID,NONE,True,MATCHED
PAY00080,TXN00080,INV00080,2026-07-22,CUST0209,54489.81,INR,WALLET,SUCCESS,SET00080,2026-07-24,54489.81,817.35,147.12,SETTLED,CUST0209,54489.81,54489.81,PAID,NONE,True,MATCHED
PAY00081,TXN00081,INV00081,2026-08-14,CUST0300,2443.43,INR,WALLET,SUCCESS,SET00081,2026-08-16,2443.43,36.65,6.6,SETTLED,CUST0300,2443.43,2443.43,PAID,NONE,True,MATCHED
PAY00082,TXN00082,INV00082,2026-07-27,CUST0200,54052.95,INR,CARD,SUCCESS,SET00082,2026-07-29,54052.95,810.79,145.94,SETTLED,CUST0200,54052.95,54052.95,PAID,NONE,True,MATCHED
PAY00083,TXN00083,INV00083,2026-07-02,CUST0249,39191.29,INR,WALLET,SUCCESS,SET00083,2026-07-03,39191.29,587.87,105.82,SETTLED,CUST0249,39191.29,39191.29,PAID,NONE,True,MATCHED
PAY00084,TXN00084,INV00084,2026-07-02,CUST0274,90739.42,INR,UPI,SUCCESS,SET00084,2026-07-03,90739.42,1361.09,245.0,SETTLED,CUST0274,90739.42,90739.42,PAID,NONE,True,MATCHED
PAY00085,TXN00085,INV00085,2026-07-12,CUST0237,5503.32,INR,WALLET,SUCCESS,SET00085,2026-07-14,5503.32,82.55,14.86,SETTLED,CUST0237,5503.32,5503.32,PAID,NONE,True,MATCHED
PAY00086,TXN00086,INV00086,2026-08-18,CUST0173,88024.18,INR,NETBANKING,SUCCESS,SET00086,2026-08-20,88024.18,1320.36,237.66,SETTLED,CUST0173,88024.18,88024.18,PAID,NONE,True,MATCHED
PAY00087,TXN00087,INV00087,2026-07-31,CUST0042,2428.64,INR,UPI,SUCCESS,SET00087,2026-08-08,2428.64,36.43,6.56,SETTLED,CUST0042,2428.64,2428.64,PAID,DELAYED_SETTLEMENT,False,EXCEPTION
PAY00088,TXN00088,INV00088,2026-08-18,CUST0021,3587.48,INR,CARD,SUCCESS,SET00088,2026-08-21,3587.48,53.81,9.69,SETTLED,CUST0021,3587.48,3587.48,PAID,NONE,True,MATCHED
PAY00089,TXN00089,INV00089,2026-07-16,CUST0079,13058.99,INR,UPI,SUCCESS,SET00089,2026-07-18,13058.99,195.88,35.26,SETTLED,CUST0079,13058.99,13058.99,PAID,NONE,True,MATCHED
PAY00090,TXN00090,INV00090,2026-08-19,CUST0132,37205.07,INR,UPI,SUCCESS,SET00090,2026-08-21,37205.07,558.08,100.45,SETTLED,CUST0132,37205.07,37205.07,PAID,NONE,True,MATCHED
PAY00091,TXN00091,INV00091,2026-08-07,CUST0056,3055.0,INR,NETBANKING,SUCCESS,SET00091,2026-08-09,3055.0,45.82,8.25,SETTLED,CUST0056,3055.0,3055.0,PAID,NONE,True,MATCHED
PAY00092,TXN00092,INV00092,2026-07-05,CUST0102,59413.74,INR,CARD,SUCCESS,SET00092,2026-07-08,59413.74,891.21,160.42,SETTLED,CUST0102,59413.74,59413.74,PAID,NONE,True,MATCHED
PAY00093,TXN00093,INV00093,2026-08-20,CUST0062,98392.51,INR,UPI,SUCCESS,SET00093,2026-08-23,98392.51,1475.89,265.66,SETTLED,CUST0062,98392.51,98392.51,PAID,NONE,True,MATCHED
PAY00094,TXN00094,INV00094,2026-07-05,CUST0190,50843.1,INR,NETBANKING,SUCCESS,SET00094,2026-07-07,50843.1,762.65,137.28,SETTLED,CUST0190,50843.1,50843.1,PAID,NONE,True,MATCHED
PAY00095,TXN00095,INV00095,2026-07-28,CUST0055,96098.36,INR,WALLET,SUCCESS,SET00095,2026-07-29,96098.36,1441.48,259.47,SETTLED,CUST0055,96098.36,96098.36,PAID,NONE,True,MATCHED
PAY00096,TXN00096,INV00096,2026-08-11,CUST0268,27373.2,INR,WALLET,SUCCESS,SET00096,2026-08-14,27373.2,410.6,73.91,SETTLED,CUST0268,27373.2,27373.2,PAID,NONE,True,MATCHED
PAY00097,TXN00097,INV00097,2026-07-21,CUST0138,85245.46,INR,UPI,SUCCESS,SET00097,2026-07-22,85245.46,1278.68,230.16,SETTLED,CUST0138,85245.46,85245.46,PAID,NONE,True,MATCHED
PAY00098,TXN00098,INV00098,2026-08-06,CUST0238,61228.0,INR,WALLET,SUCCESS,SET00098,2026-08-08,61228.0,918.42,165.32,SETTLED,CUST0238,61228.0,61228.0,PAID,NONE,True,MATCHED
PAY00099,TXN00099,INV00099,2026-08-01,CUST0094,21605.93,INR,NETBANKING,SUCCESS,SET00099,2026-08-04,21605.93,324.09,58.34,SETTLED,CUST0094,21605.93,21605.93,PAID,NONE,True,MATCHED
PAY00100,TXN00100,INV00100,2026-08-05,CUST0142,1510.04,INR,CARD,SUCCESS,SET00100,2026-08-07,1510.04,22.65,4.08,SETTLED,CUST0142,1510.04,1510.04,PAID,NONE,True,MATCHED
PAY00101,TXN00101,INV00101,2026-08-05,CUST0251,75937.38,INR,WALLET,SUCCESS,SET00101,2026-08-07,75937.38,1139.06,205.03,SETTLED,CUST0251,75937.38,75937.38,PAID,NONE,True,MATCHED
PAY00102,TXN00102,INV00102,2026-07-06,CUST0009,29776.44,INR,WALLET,SUCCESS,SET00102,2026-07-09,29776.44,446.65,80.4,SETTLED,CUST0009,29776.44,29776.44,PAID,NONE,True,MATCHED
PAY00103,TXN00103,INV00103,2026-07-24,CUST0298,47589.42,INR,NETBANKING,SUCCESS,SET00103,2026-07-27,47589.42,713.84,128.49,SETTLED,CUST0298,47589.42,47589.42,PAID,NONE,True,MATCHED
PAY00104,TXN00104,INV00104,2026-07-23,CUST0170,70434.07,INR,NETBANKING,SUCCESS,SET00104,2026-07-24,70434.07,1056.51,190.17,SETTLED,CUST0170,70434.07,70434.07,PAID,NONE,True,MATCHED
PAY00105,TXN00105,INV00105,2026-07-21,CUST0099,12395.7,INR,CARD,SUCCESS,SET00105,2026-07-23,12395.7,185.94,33.47,SETTLED,CUST0099,12395.7,12395.7,PAID,NONE,True,MATCHED
PAY00106,TXN00106,INV00106,2026-08-16,CUST0142,59163.9,INR,NETBANKING,SUCCESS,SET00106,2026-08-26,59163.9,887.46,159.74,SETTLED,CUST0142,59163.9,59163.9,PAID,DELAYED_SETTLEMENT,False,EXCEPTION
PAY00107,TXN00107,INV00107,2026-07-12,CUST0185,30575.63,INR,CARD,SUCCESS,SET00107,2026-07-15,30575.63,458.63,82.55,SETTLED,CUST0185,30575.63,30575.63,PAID,NONE,True,MATCHED
PAY00108,TXN00108,INV00108,2026-08-14,CUST0150,94436.92,INR,WALLET,SUCCESS,SET00108,2026-08-17,94436.92,1416.55,254.98,SETTLED,CUST0150,94436.92,94436.92,PAID,NONE,True,MATCHED
PAY00109,TXN00109,INV00109,2026-07-31,CUST0146,48132.06,INR,NETBANKING,SUCCESS,SET00109,2026-08-02,48132.06,721.98,129.96,SETTLED,CUST0146,48132.06,48132.06,PAID,NONE,True,MATCHED
PAY00110,TXN00110,INV00110,2026-07-08,CUST0245,82300.51,INR,WALLET,SUCCESS,SET00110,2026-07-11,82300.51,1234.51,222.21,SETTLED,CUST0245,82300.51,82300.51,PAID,NONE,True,MATCHED
PAY00111,TXN00111,INV00111,2026-07-10,CUST0028,15345.16,INR,NETBANKING,SUCCESS,SET00111,2026-07-11,15345.16,230.18,41.43,SETTLED,CUST0028,15345.16,15345.16,PAID,NONE,True,MATCHED
PAY00112,TXN00112,INV00112,2026-08-18,CUST0286,41909.32,INR,CARD,SUCCESS,SET00112,2026-08-20,41909.32,628.64,113.16,SETTLED,CUST0286,41909.32,41909.32,PAID,NONE,True,MATCHED
PAY00113,TXN00113,INV00113,2026-07-20,CUST0227,86086.58,INR,WALLET,SUCCESS,SET00113,2026-07-21,86086.58,1291.3,232.43,SETTLED,CUST0227,86086.58,86086.58,PAID,NONE,True,MATCHED
PAY00114,TXN00114,INV00114,2026-08-18,CUST0051,21174.9,INR,CARD,SUCCESS,SET00114,2026-08-19,21174.9,317.62,57.17,SETTLED,CUST0051,21174.9,21174.9,PAID,NONE,True,MATCHED
PAY00115,TXN00115,INV00115,2026-07-12,CUST0123,55423.23,INR,CARD,SUCCESS,SET00115,2026-07-15,55423.23,831.35,149.64,SETTLED,CUST0123,55423.23,55423.23,PAID,NONE,True,MATCHED
PAY00116,TXN00116,INV00116,2026-07-19,CUST0241,3747.67,INR,NETBANKING,SUCCESS,SET00116,2026-07-21,3747.67,56.22,10.12,SETTLED,CUST0241,3747.67,3747.67,PAID,NONE,True,MATCHED
PAY00117,TXN00117,INV00117,2026-08-13,CUST0037,23725.67,INR,NETBANKING,SUCCESS,SET00117,2026-08-16,23725.67,355.89,64.06,SETTLED,CUST0037,23725.67,23725.67,PAID,NONE,True,MATCHED
PAY00118,TXN00118,INV00118,2026-07-28,CUST0102,11920.24,INR,CARD,SUCCESS,SET00118,2026-07-29,11920.24,178.8,32.18,SETTLED,CUST0102,11920.24,11920.24,PAID,NONE,True,MATCHED
