payment_id,invoice_id,exception_type,is_exception,actual_exception,predicted_exception,issues
PAY00036,INV00036,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00037,INV00037,NONE,False,False,False,NONE
PAY00038,INV00038,NONE,False,False,False,NONE
PAY00039,INV00039,NONE,False,False,False,NONE
PAY00040,INV00040,NONE,False,False,False,NONE
PAY00041,INV00041,NONE,False,False,False,NONE
PAY00042,INV00042,NONE,False,False,False,NONE
PAY00043,INV00043,NONE,False,False,False,NONE
PAY00044,INV00044,NONE,False,False,False,NONE
PAY00045,INV00045,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00046,INV00046,NONE,False,False,False,NONE
PAY00047,INV00047,NONE,False,False,False,NONE
PAY00048,INV00048,NONE,False,False,False,NONE
PAY00049,INV00049,NONE,False,False,False,NONE
PAY00050,INV00050,NONE,False,False,False,NONE
PAY00051,INV00051,NONE,False,False,False,NONE
PAY00052,INV00052,NONE,False,False,False,NONE
PAY00053,INV00053,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00054,INV00054,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00055,INV00055,NONE,False,False,False,NONE
PAY00056,INV00056,NONE,False,False,False,NONE
PAY00057,INV00057,NONE,False,False,False,NONE
PAY00058,INV00058,NONE,False,False,False,NONE
PAY00059,INV00059,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00060,INV00060,NONE,False,False,False,NONE
PAY00061,INV00061,NONE,False,False,False,NONE
PAY00062,INV00062,NONE,False,False,False,NONE
PAY00063,INV00063,NONE,False,False,False,NONE
PAY00064,INV00064,NONE,False,False,False,NONE
PAY00065,INV00065,NONE,False,False,False,NONE
PAY00066,INV00066,NONE,False,False,False,NONE
PAY00067,INV00067,NONE,False,False,False,NONE
PAY00068,INV00068,NONE,False,False,False,NONE
PAY00069,INV00069,NONE,False,False,False,NONE
PAY00070,INV00070,NONE,False,False,False,NONE
PAY00071,INV00071,NONE,False,False,False,NONE
PAY00072,INV00072,NONE,False,False,False,NONE
PAY00073,INV00073,NONE,False,False,False,NONE
PAY00074,INV00074,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00075,INV00075,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00076,INV00076,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00077,INV00077,NONE,False,False,False,NONE
PAY00078,INV00078,NONE,False,False,False,NONE
PAY00079,INV00079,NONE,False,False,False,NONE
PAY00080,INV00080,NONE,False,False,False,NONE
PAY00081,INV00081,NONE,False,False,False,NONE
PAY00082,INV00082,NONE,False,False,False,NONE
PAY00083,INV00083,NONE,False,False,False,NONE
PAY00084,INV00084,NONE,False,False,False,NONE
PAY00085,INV00085,NONE,False,False,False,NONE
PAY00086,INV00086,NONE,False,False,False,NONE
PAY00087,INV00087,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00088,INV00088,NONE,False,False,False,NONE
PAY00089,INV00089,NONE,False,False,False,NONE
PAY00090,INV00090,NONE,False,False,False,NONE
PAY00091,INV00091,NONE,False,False,False,NONE
PAY00092,INV00092,NONE,False,False,False,NONE
PAY00093,INV00093,NONE,False,False,False,NONE
PAY00094,INV00094,NONE,False,False,False,NONE
PAY00095,INV00095,NONE,False,False,False,NONE
PAY00096,INV00096,NONE,False,False,False,NONE
PAY00097,INV00097,NONE,False,False,False,NONE
PAY00098,INV00098,NONE,False,False,False,NONE
PAY00099,INV00099,NONE,False,False,False,NONE
PAY00100,INV00100,NONE,False,False,False,NONE
PAY00101,INV00101,NONE,False,False,False,NONE
PAY00102,INV00102,NONE,False,False,False,NONE
PAY00103,INV00103,NONE,False,False,False,NONE
PAY00104,INV00104,NONE,False,False,False,NONE
PAY00105,INV00105,NONE,False,False,False,NONE
PAY00106,INV00106,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00107,INV00107,NONE,False,False,False,NONE
PAY00108,INV00108,NONE,False,False,False,NONE
PAY00109,INV00109,NONE,False,False,False,NONE
PAY00110,INV00110,NONE,False,False,False,NONE
PAY00111,INV00111,NONE,False,False,False,NONE
PAY00112,INV00112,NONE,False,False,False,NONE
PAY00113,INV00113,NONE,False,False,False,NONE
PAY00114,INV00114,NONE,False,False,False,NONE
PAY00115,INV00115,NONE,False,False,False,NONE
PAY00116,INV00116,NONE,False,False,False,NONE
PAY00117,INV00117,NONE,False,False,False,NONE
PAY00118,INV00118,NONE,False,False,False,NONE
PAY00119,INV00119,NONE,False,False,False,NONE
PAY00120,INV00120,NONE,False,False,False,NONE
PAY00121,INV00121,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00122,INV00122,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00123,INV00123,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00124,INV00124,NONE,False,False,False,NONE
PAY00125,INV00125,NONE,False,False,False,NONE
PAY00126,INV00126,NONE,False,False,False,NONE
PAY00127,INV00127,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00128,INV00128,NONE,False,False,False,NONE
PAY00129,INV00129,NONE,False,False,False,NONE
PAY00130,INV00130,NONE,False,False,False,NONE
PAY00131,INV00131,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00132,INV00132,NONE,False,False,False,NONE
PAY00133,INV00133,NONE,False,False,False,NONE
PAY00134,INV00134,NONE,False,False,False,NONE
PAY00135,INV00135,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00136,INV00136,NONE,False,False,False,NONE
PAY00137,INV00137,NONE,False,False,False,NONE
PAY00138,INV00138,NONE,False,False,False,NONE
PAY00139,INV00139,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00140,INV00140,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00141,INV00141,NONE,False,False,False,NONE
PAY00142,INV00142,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00143,INV00143,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00144,INV00144,NONE,False,False,False,NONE
PAY00145,INV00145,NONE,False,False,False,NONE
PAY00146,INV00146,NONE,False,False,False,NONE
PAY00147,INV00147,NONE,False,False,False,NONE
PAY00148,INV00148,NONE,False,False,False,NONE
PAY00149,INV00149,NONE,False,False,False,NONE
PAY00150,INV00150,NONE,False,False,False,NONE
PAY00151,INV00151,NONE,False,False,False,NONE
PAY00152,INV00152,NONE,False,False,False,NONE
PAY00153,INV00153,NONE,False,False,False,NONE
PAY00154,INV00154,NONE,False,False,False,NONE
PAY00155,INV00155,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00156,INV00156,NONE,False,False,False,NONE
PAY00157,INV00157,NONE,False,False,False,NONE
PAY00158,INV00158,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00159,INV00159,NONE,False,False,False,NONE
PAY00160,INV00160,NONE,False,False,False,NONE
PAY00161,INV00161,NONE,False,False,False,NONE
PAY00162,INV00162,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00163,INV00163,NONE,False,False,False,NONE
PAY00164,INV00164,NONE,False,False,False,NONE
PAY00165,INV00165,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00166,INV00166,NONE,False,False,False,NONE
PAY00167,INV00167,NONE,False,False,False,NONE
PAY00168,INV00168,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00169,INV00169,NONE,False,False,False,NONE
PAY00170,INV00170,NONE,False,False,False,NONE
PAY00171,INV00171,NONE,False,False,False,NONE
PAY00172,INV00172,NONE,False,False,False,NONE
PAY00173,INV00173,NONE,False,False,False,NONE
PAY00174,INV00174,NONE,False,False,False,NONE
PAY00175,INV00175,NONE,False,False,False,NONE
PAY00176,INV00176,NONE,False,False,False,NONE
PAY00177,INV00177,NONE,False,False,False,NONE
PAY00178,INV00178,NONE,False,False,False,NONE
PAY00179,INV00179,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00180,INV00180,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00181,INV00181,NONE,False,False,False,NONE
PAY00182,INV00182,NONE,False,False,False,NONE
PAY00183,INV00183,NONE,False,False,False,NONE
PAY00184,INV00184,NONE,False,False,False,NONE
PAY00185,INV00185,NONE,False,False,False,NONE
PAY00186,INV00186,NONE,False,False,False,NONE
PAY00187,INV00187,NONE,False,False,False,NONE
PAY00188,INV00188,NONE,False,False,False,NONE
PAY00189,INV00189,NONE,False,False,False,NONE
PAY00190,INV00190,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00191,INV00191,NONE,False,False,False,NONE
PAY00192,INV00192,NONE,False,False,False,NONE
PAY00193,INV00193,NONE,False,False,False,NONE
PAY00194,INV00194,NONE,False,False,False,NONE
PAY00195,INV00195,NONE,False,False,False,NONE
PAY00196,INV00196,NONE,False,False,False,NONE
PAY00197,INV00197,NONE,False,False,False,NONE
PAY00198,INV00198,NONE,False,False,False,NONE
PAY00199,INV00199,NONE,False,False,False,NONE
PAY00200,INV00200,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00201,INV00201,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00202,INV00202,NONE,False,False,False,NONE
PAY00203,INV00203,NONE,False,False,False,NONE
PAY00204,INV00204,NONE,False,False,False,NONE
PAY00205,INV00205,NONE,False,False,False,NONE
PAY00206,INV00206,NONE,False,False,False,NONE
PAY00207,INV00207,NONE,False,False,False,NONE
PAY00208,INV00208,NONE,False,False,False,NONE
PAY00209,INV00209,NONE,False,False,False,NONE
PAY00210,INV00210,NONE,False,False,False,NONE
PAY00211,INV00211,NONE,False,False,False,NONE
PAY00212,INV00212,NONE,False,False,False,NONE
PAY00213,INV00213,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00214,INV00214,NONE,False,False,False,NONE
PAY00215,INV00215,NONE,False,False,False,NONE
PAY00216,INV00216,NONE,False,False,False,NONE
PAY00217,INV00217,NONE,False,False,False,NONE
PAY00218,INV00218,NONE,False,False,False,NONE
PAY00219,INV00219,NONE,False,False,False,NONE
PAY00220,INV00220,NONE,False,False,False,NONE
PAY00221,INV00221,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00222,INV00222,NONE,False,False,False,NONE
PAY00223,INV00223,NONE,False,False,False,NONE
PAY00224,INV00224,NONE,False,False,False,NONE
PAY00225,INV00225,NONE,False,False,False,NONE
PAY00226,INV00226,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00227,INV00227,NONE,False,False,False,NONE
PAY00228,INV00228,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00229,INV00229,NONE,False,False,False,NONE
PAY00230,INV00230,NONE,False,False,False,NONE
PAY00231,INV00231,NONE,False,False,False,NONE
PAY00232,INV00232,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00233,INV00233,NONE,False,False,False,NONE
PAY00234,INV00234,NONE,False,False,False,NONE
PAY00235,INV00235,NONE,False,False,False,NONE
PAY00236,INV00236,NONE,False,False,False,NONE
PAY00237,INV00237,NONE,False,False,False,NONE
PAY00238,INV00238,NONE,False,False,False,NONE
PAY00239,INV00239,NONE,False,False,False,NONE
PAY00240,INV00240,NONE,False,False,False,NONE
PAY00241,INV00241,NONE,False,False,False,NONE
PAY00242,INV00242,NONE,False,False,False,NONE
PAY00243,INV00243,NONE,False,False,False,NONE
PAY00244,INV00244,NONE,False,False,False,NONE
PAY00245,INV00245,NONE,False,False,False,NONE
PAY00246,INV00246,NONE,False,False,False,NONE
PAY00247,INV00247,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00248,INV00248,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00249,INV00249,NONE,False,False,False,NONE
PAY00250,INV00250,NONE,False,False,False,NONE
PAY00251,INV00251,NONE,False,False,False,NONE
PAY00252,INV00252,NONE,False,False,False,NONE
PAY00253,INV00253,NONE,False,False,False,NONE
PAY00254,INV00254,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00255,INV00255,NONE,False,False,False,NONE
PAY00256,INV00256,NONE,False,False,False,NONE
PAY00257,INV00257,NONE,False,False,False,NONE
PAY00258,INV00258,NONE,False,False,False,NONE
PAY00259,INV00259,NONE,False,False,False,NONE
PAY00260,INV00260,NONE,False,False,False,NONE
PAY00261,INV00261,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00262,INV00262,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00263,INV00263,NONE,False,False,False,NONE
PAY00264,INV00264,NONE,False,False,False,NONE
PAY00265,INV00265,NONE,False,False,False,NONE
PAY00266,INV00266,NONE,False,False,False,NONE
PAY00267,INV00267,NONE,False,False,False,NONE
PAY00268,INV00268,NONE,False,False,False,NONE
PAY00269,INV00269,NONE,False,False,False,NONE
PAY00270,INV00270,NONE,False,False,False,NONE
PAY00271,INV00271,NONE,False,False,False,NONE
PAY00272,INV00272,NONE,False,False,False,NONE
PAY00273,INV00273,NONE,False,False,False,NONE
PAY00274,INV00274,NONE,False,False,False,NONE
PAY00275,INV00275,NONE,False,False,False,NONE
PAY00276,INV00276,NONE,False,False,False,NONE
PAY00277,INV00277,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00278,INV00278,NONE,False,False,False,NONE
PAY00279,INV00279,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00280,INV00280,NONE,False,False,False,NONE
PAY00281,INV00281,NONE,False,False,False,NONE
PAY00282,INV00282,NONE,False,False,False,NONE
PAY00283,INV00283,NONE,False,False,False,NONE
PAY00284,INV00284,NONE,False,False,False,NONE
PAY00285,INV00285,NONE,False,False,False,NONE
PAY00286,INV00286,NONE,False,False,False,NONE
PAY00287,INV00287,NONE,False,False,False,NONE
PAY00288,INV00288,NONE,False,False,False,NONE
PAY00289,INV00289,NONE,False,False,False,NONE
PAY00290,INV00290,NONE,False,False,False,NONE
PAY00291,INV00291,NONE,False,False,False,NONE
PAY00292,INV00292,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00293,INV00293,NONE,False,False,False,NONE
PAY00294,INV00294,NONE,False,False,False,NONE
PAY00295,INV00295,NONE,False,False,False,NONE
PAY00296,INV00296,NONE,False,False,False,NONE
PAY00297,INV00297,NONE,False,False,False,NONE
PAY00298,INV00298,NONE,False,False,False,NONE
PAY00299,INV00299,NONE,False,False,False,NONE
PAY00300,INV00300,NONE,False,False,False,NONE
PAY00301,INV00301,NONE,False,False,False,NONE
PAY00302,INV00302,NONE,False,False,False,NONE
PAY00303,INV00303,NONE,False,False,False,NONE
PAY00304,INV00304,NONE,False,False,False,NONE
PAY00305,INV00305,NONE,False,False,False,NONE
PAY00306,INV00306,NONE,False,False,False,NONE
PAY00307,INV00307,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00308,INV00308,NONE,False,False,False,NONE
PAY00309,INV00309,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00310,INV00310,NONE,False,False,False,NONE
PAY00311,INV00311,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00312,INV00312,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00313,INV00313,NONE,False,False,False,NONE
PAY00314,INV00314,NONE,False,False,False,NONE
PAY00315,INV00315,NONE,False,False,False,NONE
PAY00316,INV00316,NONE,False,False,False,NONE
PAY00317,INV00317,NONE,False,False,False,NONE
PAY00318,INV00318,NONE,False,False,False,NONE
PAY00319,INV00319,NONE,False,False,False,NONE
PAY00320,INV00320,NONE,False,False,False,NONE
PAY00321,INV00321,NONE,False,False,False,NONE
PAY00322,INV00322,NONE,False,False,False,NONE
PAY00323,INV00323,NONE,False,False,False,NONE
PAY00324,INV00324,NONE,False,False,False,NONE
PAY00325,INV00325,NONE,False,False,False,NONE
PAY00326,INV00326,NONE,False,False,False,NONE
PAY00327,INV00327,NONE,False,False,False,NONE
PAY00328,INV00328,NONE,False,False,False,NONE
PAY00329,INV00329,NONE,False,False,False,NONE
PAY00330,INV00330,NONE,False,False,False,NONE
PAY00331,INV00331,NONE,False,False,False,NONE
PAY00332,INV00332,NONE,False,False,False,NONE
PAY00333,INV00333,NONE,False,False,False,NONE
PAY00334,INV00334,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00335,INV00335,NONE,False,False,False,NONE
PAY00336,INV00336,NONE,False,False,False,NONE
PAY00337,INV00337,NONE,False,False,False,NONE
PAY00338,INV00338,NONE,False,False,False,NONE
PAY00339,INV00339,NONE,False,False,False,NONE
PAY00340,INV00340,NONE,False,False,False,NONE
PAY00341,INV00341,NONE,False,False,False,NONE
PAY00342,INV00342,NONE,False,False,False,NONE
PAY00343,INV00343,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00344,INV00344,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00345,INV00345,NONE,False,False,False,NONE
PAY00346,INV00346,NONE,False,False,False,NONE
PAY00347,INV00347,NONE,False,False,False,NONE
PAY00348,INV00348,NONE,False,False,False,NONE
PAY00349,INV00349,NONE,False,False,False,NONE
PAY00350,INV00350,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00351,INV00351,NONE,False,False,False,NONE
PAY00352,INV00352,NONE,False,False,False,NONE
PAY00353,INV00353,NONE,False,False,False,NONE
PAY00354,INV00354,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00355,INV00355,NONE,False,False,False,NONE
PAY00356,INV00356,NONE,False,False,False,NONE
PAY00357,INV00357,NONE,False,False,False,NONE
PAY00358,INV00358,NONE,False,False,False,NONE
PAY00359,INV00359,NONE,False,False,False,NONE
PAY00360,INV00360,NONE,False,False,False,NONE
PAY00361,INV00361,NONE,False,False,False,NONE
PAY00362,INV00362,NONE,False,False,False,NONE
PAY00363,INV00363,NONE,False,False,False,NONE
PAY00364,INV00364,NONE,False,False,False,NONE
PAY00365,INV00365,NONE,False,False,False,NONE
PAY00366,INV00366,NONE,False,False,False,NONE
PAY00367,INV00367,NONE,False,False,False,NONE
PAY00368,INV00368,NONE,False,False,False,NONE
PAY00369,INV00369,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00370,INV00370,NONE,False,False,False,NONE
PAY00371,INV00371,NONE,False,False,False,NONE
PAY00372,INV00372,NONE,False,False,False,NONE
PAY00373,INV00373,NONE,False,False,False,NONE
PAY00374,INV00374,NONE,False,False,False,NONE
PAY00375,INV00375,NONE,False,False,False,NONE
PAY00376,INV00376,NONE,False,False,False,NONE
PAY00377,INV00377,NONE,False,False,False,NONE
PAY00378,INV00378,NONE,False,False,False,NONE
PAY00379,INV00379,NONE,False,False,False,NONE
PAY00380,INV00380,NONE,False,False,False,NONE
PAY00381,INV00381,NONE,False,False,False,NONE
PAY00382,INV00382,NONE,False,False,False,NONE
PAY00383,INV00383,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00384,INV00384,NONE,False,False,False,NONE
PAY00385,INV00385,NONE,False,False,False,NONE
PAY00386,INV00386,NONE,False,False,False,NONE
PAY00387,INV00387,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00388,INV00388,NONE,False,False,False,NONE
PAY00389,INV00389,NONE,False,False,False,NONE
PAY00390,INV00390,NONE,False,False,False,NONE
PAY00391,INV00391,NONE,False,False,False,NONE
PAY00392,INV00392,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00393,INV00393,NONE,False,False,False,NONE
PAY00394,INV00394,NONE,False,False,False,NONE
PAY00395,INV00395,NONE,False,False,False,NONE
PAY00396,INV00396,NONE,False,False,False,NONE
PAY00397,INV00397,NONE,False,False,False,NONE
PAY00398,INV00398,NONE,False,False,False,NONE
PAY00399,INV00399,NONE,False,False,False,NONE
PAY00400,INV00400,NONE,False,False,False,NONE
PAY00401,INV00401,NONE,False,False,False,NONE
PAY00402,INV00402,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00403,INV00403,NONE,False,False,False,NONE
PAY00404,INV00404,NONE,False,False,False,NONE
PAY00405,INV00405,NONE,False,False,False,NONE
PAY00406,INV00406,NONE,False,False,False,NONE
PAY00407,INV00407,NONE,False,False,False,NONE
PAY00408,INV00408,NONE,False,False,False,NONE
PAY00409,INV00409,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00410,INV00410,NONE,False,False,False,NONE
PAY00411,INV00411,NONE,False,False,False,NONE
PAY00412,INV00412,NONE,False,False,False,NONE
PAY00413,INV00413,NONE,False,False,False,NONE
PAY00414,INV00414,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00415,INV00415,NONE,False,False,False,NONE
PAY00416,INV00416,NONE,False,False,False,NONE
PAY00417,INV00417,NONE,False,False,False,NONE
PAY00418,INV00418,NONE,False,False,False,NONE
PAY00419,INV00419,NONE,False,False,False,NONE
PAY00420,INV00420,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00421,INV00421,NONE,False,False,False,NONE
PAY00422,INV00422,NONE,False,False,False,NONE
PAY00423,INV00423,NONE,False,False,False,NONE
PAY00424,INV00424,NONE,False,False,False,NONE
PAY00425,INV00425,NONE,False,False,False,NONE
PAY00426,INV00426,NONE,False,False,False,NONE
PAY00427,INV00427,NONE,False,False,False,NONE
PAY00428,INV00428,NONE,False,False,False,NONE
PAY00429,INV00429,NONE,False,False,False,NONE
PAY00430,INV00430,NONE,False,False,False,NONE
PAY00431,INV00431,NONE,False,False,False,NONE
PAY00432,INV00432,NONE,False,False,False,NONE
PAY00433,INV00433,NONE,False,False,False,NONE
PAY00434,INV00434,NONE,False,False,False,NONE
PAY00435,INV00435,NONE,False,False,False,NONE
PAY00436,INV00436,NONE,False,False,False,NONE
PAY00437,INV00437,NONE,False,False,False,NONE
PAY00438,INV00438,NONE,False,False,False,NONE
PAY00439,INV00439,NONE,False,False,False,NONE
PAY00440,INV00440,NONE,False,False,False,NONE
PAY00441,INV00441,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00442,INV00442,NONE,False,False,False,NONE
PAY00443,INV00443,NONE,False,False,False,NONE
PAY00444,INV00444,NONE,False,False,False,NONE
PAY00445,INV00445,NONE,False,False,False,NONE
PAY00446,INV00446,NONE,False,False,False,NONE
PAY00447,INV00447,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00448,INV00448,NONE,False,False,False,NONE
PAY00449,INV00449,MISSING_SETTLEMENT,True,True,True,MISSING_SETTLEMENT
PAY00450,INV00450,NONE,False,False,False,NONE
PAY00451,INV00451,NONE,False,False,False,NONE
PAY00452,INV00452,NONE,False,False,False,NONE
PAY00453,INV00453,NONE,False,False,False,NONE
PAY00454,INV00454,NONE,False,False,False,NONE
PAY00455,INV00455,NONE,False,False,False,NONE
PAY00456,INV00456,NONE,False,False,False,NONE
PAY00457,INV00457,NONE,False,False,False,NONE
PAY00458,INV00458,NONE,False,False,False,NONE
PAY00459,INV00459,NONE,False,False,False,NONE
PAY00460,INV00460,NONE,False,False,False,NONE
PAY00461,INV00461,NONE,False,False,False,NONE
PAY00462,INV00462,NONE,False,False,False,NONE
PAY00463,INV00463,NONE,False,False,False,NONE
PAY00464,INV00464,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00465,INV00465,NONE,False,False,False,NONE
PAY00466,INV00466,NONE,False,False,False,NONE
PAY00467,INV00467,NONE,False,False,False,NONE
PAY00468,INV00468,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00469,INV00469,NONE,False,False,False,NONE
PAY00470,INV00470,AMOUNT_MISMATCH,True,True,True,AMOUNT_MISMATCH
PAY00471,INV00471,NONE,False,False,False,NONE
PAY00472,INV00472,NONE,False,False,False,NONE
PAY00473,INV00473,NONE,False,False,False,NONE
PAY00474,INV00474,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00475,INV00475,NONE,False,False,False,NONE
PAY00476,INV00476,NONE,False,False,False,NONE
PAY00477,INV00477,NONE,False,False,False,NONE
PAY00478,INV00478,NONE,False,False,False,NONE
PAY00479,INV00479,NONE,False,False,False,NONE
PAY00480,INV00480,NONE,False,False,False,NONE
PAY00481,INV00481,NONE,False,False,False,NONE
PAY00482,INV00482,NONE,False,False,False,NONE
PAY00483,INV00483,NONE,False,False,False,NONE
PAY00484,INV00484,NONE,False,False,False,NONE
PAY00485,INV00485,NONE,False,False,False,NONE
PAY00486,INV00486,NONE,False,False,False,NONE
PAY00487,INV00487,NONE,False,False,False,NONE
PAY00488,INV00488,DELAYED_SETTLEMENT,True,True,True,DELAYED_SETTLEMENT
PAY00489,INV00489,NONE,False,False,False,NONE
PAY00490,INV00490,NONE,False,False,False,NONE
PAY00491,INV00491,INVOICE_MISMATCH,True,True,True,INVOICE_MISMATCH
PAY00492,INV00492,NONE,False,False,False,NONE
PAY00493,INV00493,NONE,False,False,False,NONE
PAY00494,INV00494,DUPLICATE_PAYMENT,True,True,True,DUPLICATE_PAYMENT
PAY00495,INV00495,NONE,False,False,False,NONE
PAY00496,INV00496,NONE,False,False,False,NONE
PAY00497,INV00497,NONE,False,False,False,NONE
