settlement_id,payment_id,settlement_date,settled_amount,fees,tax,status
SET00349,PAY00349,2026-08-13,36246.33,543.69,97.86,SETTLED
SET00351,PAY00351,2026-07-05,56471.21,847.07,152.47,SETTLED
SET00352,PAY00352,2026-08-09,58124.72,871.87,156.94,SETTLED
SET00353,PAY00353,2026-07-28,57194.06,857.91,154.42,SETTLED
SET00354,PAY00354,2026-07-19,76454.38,1146.82,206.43,SETTLED
SET00355,PAY00355,2026-08-18,79600.06,1194.0,214.92,SETTLED
SET00356,PAY00356,2026-08-07,99037.19,1485.56,267.4,SETTLED
SET00357,PAY00357,2026-08-19,1135.19,17.03,3.07,SETTLED
SET00358,PAY00358,2026-07-04,22262.61,333.94,60.11,SETTLED
SET00359,PAY00359,2026-08-13,49041.51,735.62,132.41,SETTLED
SET00360,PAY00360,2026-08-06,72358.18,1085.37,195.37,SETTLED
SET00361,PAY00361,2026-07-13,11148.13,167.22,30.1,SETTLED
SET00362,PAY00362,2026-07-19,81613.83,1224.21,220.36,SETTLED
SET00363,PAY00363,2026-08-02,56717.72,850.77,153.14,SETTLED
SET00364,PAY00364,2026-07-09,40825.19,612.38,110.23,SETTLED
SET00365,PAY00365,2026-08-16,17552.67,263.29,47.39,SETTLED
SET00366,PAY00366,2026-07-10,89531.73,1342.98,241.74,SETTLED
SET00367,PAY00367,2026-07-21,5132.92,76.99,13.86,SETTLED
SET00368,PAY00368,2026-08-15,3773.73,56.61,10.19,SETTLED
SET00370,PAY00370,2026-07-18,56886.24,853.29,153.59,SETTLED
SET00371,PAY00371,2026-08-19,74104.64,1111.57,200.08,SETTLED
SET00372,PAY00372,2026-07-31,23598.33,353.97,63.71,SETTLED
SET00373,PAY00373,2026-08-21,32974.48,494.62,89.03,SETTLED
SET00374,PAY00374,2026-07-26,55527.25,832.91,149.92,SETTLED
SET00375,PAY00375,2026-07-07,77330.66,1159.96,208.79,SETTLED
SET00376,PAY00376,2026-07-20,15844.99,237.67,42.78,SETTLED
SET00377,PAY00377,2026-07-07,1016.92,15.25,2.75,SETTLED
SET00378,PAY00378,2026-07-08,19145.48,287.18,51.69,SETTLED
SET00379,PAY00379,2026-07-04,9417.07,141.26,25.43,SETTLED
SET00380,PAY00380,2026-07-20,41674.1,625.11,112.52,SETTLED
SET00381,PAY00381,2026-08-05,17373.5,260.6,46.91,SETTLED
SET00382,PAY00382,2026-08-03,15020.51,225.31,40.56,SETTLED
SET00383,PAY00383,2026-08-23,8153.68,122.31,22.02,SETTLED
SET00384,PAY00384,2026-08-09,61858.54,927.88,167.02,SETTLED
