invoice_id,customer_id,invoice_date,due_date,invoice_amount,paid_amount,status
INV00080,CUST0209,2026-07-19,2026-08-03,54489.81,54489.81,PAID
INV00081,CUST0300,2026-08-12,2026-08-27,2443.43,2443.43,PAID
INV00082,CUST0200,2026-07-25,2026-08-09,54052.95,54052.95,PAID
INV00083,CUST0249,2026-06-29,2026-07-14,39191.29,39191.29,PAID
INV00084,CUST0274,2026-06-29,2026-07-14,90739.42,90739.42,PAID
INV00085,CUST0237,2026-07-09,2026-07-24,5503.32,5503.32,PAID
INV00086,CUST0173,2026-08-15,2026-08-30,88024.18,88024.18,PAID
INV00087,CUST0042,2026-07-29,2026-08-13,2428.64,2428.64,PAID
INV00088,CUST0021,2026-08-18,2026-09-02,3587.48,3587.48,PAID
INV00089,CUST0079,2026-07-15,2026-07-30,13058.99,13058.99,PAID
INV00090,CUST0132,2026-08-18,2026-09-02,37205.07,37205.07,PAID
INV00091,CUST0056,2026-08-04,2026-08-19,3055.0,3055.0,PAID
INV00092,CUST0102,2026-07-03,2026-07-18,59413.74,59413.74,PAID
INV00093,CUST0062,2026-08-17,2026-09-01,98392.51,98392.51,PAID
INV00094,CUST0190,2026-07-02,2026-07-17,50843.1,50843.1,PAID
INV00095,CUST0055,2026-07-25,2026-08-09,96098.36,96098.36,PAID
INV00096,CUST0268,2026-08-06,2026-08-21,27373.2,27373.2,PAID
INV00097,CUST0138,2026-07-18,2026-08-02,85245.46,85245.46,PAID
INV00098,CUST0238,2026-08-03,2026-08-18,61228.0,61228.0,PAID
INV00099,CUST0094,2026-07-28,2026-08-12,21605.93,21605.93,PAID
INV00100,CUST0142,2026-07-31,2026-08-15,1510.04,1510.04,PAID
INV00101,CUST0251,2026-08-02,2026-08-17,75937.38,75937.38,PAID
INV00102,CUST0009,2026-07-04,2026-07-19,29776.44,29776.44,PAID
INV00103,CUST0298,2026-07-19,2026-08-03,47589.42,47589.42,PAID
INV00104,CUST0170,2026-07-22,2026-08-06,70434.07,70434.07,PAID
INV00105,CUST0099,2026-07-16,2026-07-31,12395.7,12395.7,PAID
INV00106,CUST0142,2026-08-15,2026-08-30,59163.9,59163.9,PAID
INV00107,CUST0185,2026-07-12,2026-07-27,30575.63,30575.63,PAID
INV00108,CUST0150,2026-08-14,2026-08-29,94436.92,94436.92,PAID
INV00109,CUST0146,2026-07-31,2026-08-15,48132.06,48132.06,PAID
INV00110,CUST0245,2026-07-04,2026-07-19,82300.51,82300.51,PAID
INV00111,CUST0028,2026-07-09,2026-07-24,15345.16,15345.16,PAID
INV00112,CUST0286,2026-08-15,2026-08-30,41909.32,41909.32,PAID
INV00113,CUST0227,2026-07-16,2026-07-31,86086.58,86086.58,PAID
INV00114,CUST0051,2026-08-18,2026-09-02,21174.9,21174.9,PAID
INV00115,CUST0123,2026-07-09,2026-07-24,55423.23,55423.23,PAID
INV00116,CUST0241,2026-07-14,2026-07-29,3747.67,3747.67,PAID
INV00117,CUST0037,2026-08-08,2026-08-23,23725.67,23725.67,PAID
INV00118,CUST0102,2026-07-26,2026-08-10,11920.24,11920.24,PAID
INV00119,CUST0037,2026-06-30,2026-07-15,17009.32,17009.32,PAID
INV00120,CUST0225,2026-07-06,2026-07-21,47135.45,47135.45,PAID
INV00121,CUST0277,2026-07-27,2026-08-11,44057.01,44057.01,PAID
INV00122,CUST0014,2026-07-01,2026-07-16,23277.98,23277.98,PAID
INV00123,CUST0090,2026-07-30,2026-08-14,52136.9,52136.9,PAID
INV00124,CUST0224,2026-08-07,2026-08-22,81517.37,81517.37,PAID
INV00125,CUST0165,2026-08-07,2026-08-22,10907.69,10907.69,PAID
INV00126,CUST0148,2026-08-10,2026-08-25,94546.76,94546.76,PAID
INV00127,CUST0166,2026-07-08,2026-07-23,97033.38,97033.38,PAID
INV00128,CUST0237,2026-07-24,2026-08-08,5893.31,5893.31,PAID
INV00129,CUST0227,2026-08-16,2026-08-31,5635.37,5635.37,PAID
INV00130,CUST0249,2026-07-06,2026-07-21,3372.51,3372.51,PAID
INV00131,CUST0008,2026-08-05,2026-08-20,41095.07,41095.07,PAID
INV00132,CUST0079,2026-07-30,2026-08-14,93298.98,93298.98,PAID
INV00133,CUST0248,2026-07-27,2026-08-11,24751.23,24751.23,PAID
INV00134,CUST0070,2026-07-01,2026-07-16,27986.62,27986.62,PAID
INV00135,CUST0002,2026-07-16,2026-07-31,72742.07,72742.07,PAID
INV00136,CUST0171,2026-08-03,2026-08-18,76405.83,76405.83,PAID
INV00137,CUST0123,2026-08-01,2026-08-16,38605.6,38605.6,PAID
INV00138,CUST0196,2026-07-25,2026-08-09,98847.19,98847.19,PAID
INV00139,CUST0258,2026-08-04,2026-08-19,33533.47,33533.47,PAID
INV00140,CUST0234,2026-06-30,2026-07-15,72383.16,72383.16,PAID
INV00141,CUST0136,2026-07-20,2026-08-04,62514.31,62514.31,PAID
INV00142,CUST0274,2026-07-25,2026-08-09,95436.89,95436.89,PAID
INV00143,CUST0148,2026-07-10,2026-07-25,78724.91,74803.25,PAID
INV00144,CUST0228,2026-07-11,2026-07-26,69553.12,69553.12,PAID
INV00145,CUST0184,2026-07-20,2026-08-04,43353.34,43353.34,PAID
INV00146,CUST0093,2026-07-10,2026-07-25,17919.4,17919.4,PAID
INV00147,CUST0299,2026-07-05,2026-07-20,23602.75,23602.75,PAID
INV00148,CUST0239,2026-07-17,2026-08-01,67922.28,67922.28,PAID
INV00149,CUST0154,2026-08-08,2026-08-23,96221.89,96221.89,PAID
INV00150,CUST0197,2026-07-27,2026-08-11,11112.0,11112.0,PAID
INV00151,CUST0152,2026-06-28,2026-07-13,97805.48,97805.48,PAID
INV00152,CUST0026,2026-08-07,2026-08-22,74644.63,74644.63,PAID
INV00153,CUST0181,2026-07-10,2026-07-25,63843.48,63843.48,PAID
INV00154,CUST0071,2026-08-07,2026-08-22,10167.81,10167.81,PAID
INV00155,CUST0297,2026-07-22,2026-08-06,73369.8,73369.8,PAID
INV00156,CUST0213,2026-07-10,2026-07-25,20479.08,20479.08,PAID
INV00157,CUST0132,2026-07-29,2026-08-13,96754.72,96754.72,PAID
INV00158,CUST0240,2026-06-30,2026-07-15,14505.32,14505.32,PAID
INV00159,CUST0286,2026-07-20,2026-08-04,9485.14,9485.14,PAID
INV00160,CUST0233,2026-07-19,2026-08-03,67446.42,67446.42,PAID
INV00161,CUST0056,2026-08-09,2026-08-24,23765.28,23765.28,PAID
INV00162,CUST0114,2026-08-09,2026-08-24,6790.1,6790.1,PAID
INV00163,CUST0210,2026-07-05,2026-07-20,14407.81,14407.81,PAID
INV00164,CUST0050,2026-07-14,2026-07-29,88782.3,88782.3,PAID
INV00165,CUST0277,2026-07-22,2026-08-06,58940.36,58940.36,PAID
INV00166,CUST0209,2026-07-15,2026-07-30,3755.27,3755.27,PAID
INV00167,CUST0186,2026-07-02,2026-07-17,98102.31,98102.31,PAID
INV00168,CUST0032,2026-07-23,2026-08-07,27950.2,27950.2,PAID
INV00169,CUST0109,2026-08-09,2026-08-24,64129.55,64129.55,PAID
INV00170,CUST0065,2026-08-16,2026-08-31,56675.51,56675.51,PAID
INV00171,CUST0111,2026-07-11,2026-07-26,33191.68,33191.68,PAID
INV00172,CUST0142,2026-07-10,2026-07-25,98758.97,98758.97,PAID
INV00173,CUST0014,2026-07-09,2026-07-24,1978.6,1978.6,PAID
INV00174,CUST0136,2026-06-29,2026-07-14,13112.48,13112.48,PAID
INV00175,CUST0244,2026-07-28,2026-08-12,77912.7,77912.7,PAID
INV00176,CUST0023,2026-08-16,2026-08-31,78431.09,78431.09,PAID
INV00177,CUST0246,2026-07-23,2026-08-07,42914.23,42914.23,PAID
INV00178,CUST0042,2026-07-17,2026-08-01,61025.59,61025.59,PAID
INV00179,CUST0300,2026-08-01,2026-08-16,71359.2,71359.2,PAID
INV00180,CUST0259,2026-08-03,2026-08-18,43304.83,43304.83,PAID
INV00181,CUST0111,2026-07-25,2026-08-09,45429.71,45429.71,PAID
INV00182,CUST0213,2026-08-14,2026-08-29,9961.04,9961.04,PAID
INV00183,CUST0079,2026-08-13,2026-08-28,92337.01,92337.01,PAID
INV00184,CUST0222,2026-07-03,2026-07-18,74586.6,74586.6,PAID
INV00185,CUST0288,2026-07-31,2026-08-15,33299.78,33299.78,PAID
INV00186,CUST0027,2026-07-15,2026-07-30,60240.8,60240.8,PAID
INV00187,CUST0080,2026-08-08,2026-08-23,48477.84,48477.84,PAID
INV00188,CUST0059,2026-08-14,2026-08-29,28217.54,28217.54,PAID
INV00189,CUST0286,2026-06-30,2026-07-15,61094.99,61094.99,PAID
INV00190,CUST0159,2026-07-18,2026-08-02,35426.83,35426.83,PAID
INV00191,CUST0073,2026-08-13,2026-08-28,63500.62,63500.62,PAID
INV00192,CUST0193,2026-07-22,2026-08-06,45637.76,45637.76,PAID
INV00193,CUST0291,2026-08-04,2026-08-19,8953.23,8953.23,PAID
INV00194,CUST0042,2026-07-15,2026-07-30,44589.74,44589.74,PAID
INV00195,CUST0140,2026-07-14,2026-07-29,75616.84,75616.84,PAID
INV00196,CUST0250,2026-07-30,2026-08-14,66879.69,66879.69,PAID
INV00197,CUST0004,2026-07-12,2026-07-27,30491.23,30491.23,PAID
INV00198,CUST0168,2026-07-05,2026-07-20,1269.13,1269.13,PAID
INV00199,CUST0118,2026-07-28,2026-08-12,56092.99,56092.99,PAID
INV00200,CUST0224,2026-06-28,2026-07-13,46245.55,46245.55,PAID
INV00201,CUST0214,2026-07-15,2026-07-30,13233.18,11959.75,PAID
INV00202,CUST0186,2026-07-02,2026-07-17,43952.82,43952.82,PAID
INV00203,CUST0269,2026-07-05,2026-07-20,39878.79,39878.79,PAID
INV00204,CUST0087,2026-07-04,2026-07-19,51293.09,51293.09,PAID
INV00205,CUST0180,2026-08-15,2026-08-30,95843.22,95843.22,PAID
INV00206,CUST0102,2026-07-07,2026-07-22,60438.7,60438.7,PAID
INV00207,CUST0238,2026-08-14,2026-08-29,56591.68,56591.68,PAID
INV00208,CUST0166,2026-08-07,2026-08-22,31955.82,31955.82,PAID
INV00209,CUST0156,2026-08-20,2026-09-04,27830.03,27830.03,PAID
INV00210,CUST0237,2026-07-29,2026-08-13,4241.92,4241.92,PAID
INV00211,CUST0047,2026-08-05,2026-08-20,59610.94,59610.94,PAID
INV00212,CUST0022,2026-07-26,2026-08-10,90950.47,90950.47,PAID
INV00213,CUST0078,2026-07-04,2026-07-19,45327.05,45327.05,PAID
INV00214,CUST0021,2026-07-12,2026-07-27,70908.36,70908.36,PAID
INV00215,CUST0187,2026-07-22,2026-08-06,91834.71,91834.71,PAID
INV00216,CUST0027,2026-08-20,2026-09-04,63273.21,63273.21,PAID
INV00217,CUST0198,2026-07-15,2026-07-30,25573.58,25573.58,PAID
INV00218,CUST0073,2026-07-18,2026-08-02,31368.06,31368.06,PAID
INV00219,CUST0159,2026-07-31,2026-08-15,37979.59,37979.59,PAID
INV00220,CUST0270,2026-07-06,2026-07-21,64779.47,64779.47,PAID
INV00221,CUST0159,2026-07-09,2026-07-24,95141.35,95141.35,PAID
INV00222,CUST0116,2026-07-09,2026-07-24,15917.04,15917.04,PAID
INV00223,CUST0277,2026-08-13,2026-08-28,88426.38,88426.38,PAID
INV00224,CUST0193,2026-07-10,2026-07-25,16643.6,16643.6,PAID
INV00225,CUST0187,2026-08-08,2026-08-23,72098.77,72098.77,PAID
INV00226,CUST0120,2026-08-03,2026-08-18,24297.27,24297.27,PAID
INV00227,CUST0293,2026-07-25,2026-08-09,46437.16,46437.16,PAID
INV00228,CUST0215,2026-07-11,2026-07-26,81780.68,81780.68,PAID
INV00229,CUST0191,2026-08-04,2026-08-19,93462.21,93462.21,PAID
INV00230,CUST0231,2026-08-01,2026-08-16,15161.19,15161.19,PAID
INV00231,CUST0179,2026-07-01,2026-07-16,41782.24,41782.24,PAID
INV00232,CUST0042,2026-07-19,2026-08-03,22841.61,22841.61,PAID
INV00233,CUST0172,2026-08-17,2026-09-01,15031.91,15031.91,PAID
INV00234,CUST0072,2026-08-18,2026-09-02,70700.85,70700.85,PAID
INV00235,CUST0132,2026-07-12,2026-07-27,83578.83,83578.83,PAID
INV00236,CUST0155,2026-07-04,2026-07-19,5251.07,5251.07,PAID
INV00237,CUST0033,2026-07-08,2026-07-23,83750.43,83750.43,PAID
INV00238,CUST0264,2026-08-06,2026-08-21,24572.84,24572.84,PAID
INV00239,CUST0181,2026-07-16,2026-07-31,57281.04,57281.04,PAID
INV00240,CUST0185,2026-07-02,2026-07-17,95363.67,95363.67,PAID
INV00241,CUST0199,2026-07-24,2026-08-08,25738.2,25738.2,PAID
INV00242,CUST0124,2026-08-11,2026-08-26,65881.89,65881.89,PAID
INV00243,CUST0069,2026-07-02,2026-07-17,35553.76,35553.76,PAID
INV00244,CUST0238,2026-08-14,2026-08-29,48113.85,48113.85,PAID
INV00245,CUST0235,2026-07-03,2026-07-18,29697.54,29697.54,PAID
INV00246,CUST0159,2026-07-28,2026-08-12,40123.29,40123.29,PAID
INV00247,CUST0147,2026-07-21,2026-08-05,86282.78,86282.78,PAID
INV00248,CUST0189,2026-07-25,2026-08-09,89003.91,89003.91,PAID
INV00249,CUST0255,2026-08-09,2026-08-24,50003.58,50003.58,PAID
INV00250,CUST0041,2026-07-26,2026-08-10,60444.1,60444.1,PAID
INV00251,CUST0041,2026-07-16,2026-07-31,66261.46,66261.46,PAID
INV00252,CUST0086,2026-08-12,2026-08-27,44668.88,44668.88,PAID
INV00253,CUST0223,2026-07-13,2026-07-28,64127.2,64127.2,PAID
INV00254,CUST0187,2026-07-29,2026-08-13,81351.56,80209.05,PAID
INV00255,CUST0225,2026-07-01,2026-07-16,13059.89,13059.89,PAID
INV00256,CUST0197,2026-08-04,2026-08-19,3722.34,3722.34,PAID
INV00257,CUST0228,2026-08-15,2026-08-30,8150.1,8150.1,PAID
INV00258,CUST0143,2026-07-13,2026-07-28,96071.75,96071.75,PAID
INV00259,CUST0199,2026-08-04,2026-08-19,12217.22,12217.22,PAID
INV00260,CUST0147,2026-08-13,2026-08-28,91689.65,91689.65,PAID
INV00261,CUST0232,2026-07-07,2026-07-22,89918.56,89918.56,PAID
INV00262,CUST0034,2026-07-31,2026-08-15,54446.05,54446.05,PAID
INV00263,CUST0090,2026-08-19,2026-09-03,36468.47,36468.47,PAID
INV00264,CUST0122,2026-08-18,2026-09-02,49655.18,49655.18,PAID
INV00265,CUST0283,2026-07-06,2026-07-21,61388.86,61388.86,PAID
INV00266,CUST0246,2026-08-03,2026-08-18,41374.11,41374.11,PAID
INV00267,CUST0163,2026-08-09,2026-08-24,7879.42,7879.42,PAID
INV00268,CUST0283,2026-08-10,2026-08-25,58984.71,58984.71,PAID
INV00269,CUST0266,2026-07-05,2026-07-20,30760.39,30760.39,PAID
INV00270,CUST0178,2026-07-29,2026-08-13,89545.13,89545.13,PAID
INV00271,CUST0141,2026-07-08,2026-07-23,62689.72,62689.72,PAID
INV00272,CUST0298,2026-07-06,2026-07-21,17534.46,17534.46,PAID
INV00273,CUST0015,2026-07-02,2026-07-17,5023.45,5023.45,PAID
INV00274,CUST0016,2026-07-30,2026-08-14,88955.19,88955.19,PAID
INV00275,CUST0126,2026-08-13,2026-08-28,40906.21,40906.21,PAID
INV00276,CUST0226,2026-07-26,2026-08-10,48682.99,48682.99,PAID
INV00277,CUST0164,2026-08-14,2026-08-29,99896.78,98808.33,PAID
INV00278,CUST0288,2026-07-04,2026-07-19,32252.03,32252.03,PAID
INV00279,CUST0073,2026-07-04,2026-07-19,5535.23,5535.23,PAID
INV00280,CUST0082,2026-07-20,2026-08-04,93408.28,93408.28,PAID
INV00281,CUST0264,2026-07-30,2026-08-14,50126.59,50126.59,PAID
INV00282,CUST0259,2026-07-30,2026-08-14,96685.32,96685.32,PAID
INV00283,CUST0145,2026-08-01,2026-08-16,59953.12,59953.12,PAID
INV00284,CUST0221,2026-07-07,2026-07-22,88304.35,88304.35,PAID
INV00285,CUST0206,2026-07-02,2026-07-17,57243.02,57243.02,PAID
INV00286,CUST0198,2026-07-29,2026-08-13,45310.26,45310.26,PAID
INV00287,CUST0061,2026-07-07,2026-07-22,97520.74,97520.74,PAID
INV00288,CUST0188,2026-08-18,2026-09-02,14854.6,14854.6,PAID
INV00289,CUST0071,2026-08-14,2026-08-29,33637.55,33637.55,PAID
INV00290,CUST0264,2026-07-05,2026-07-20,33132.6,33132.6,PAID
INV00291,CUST0154,2026-08-05,2026-08-20,33969.16,33969.16,PAID
INV00292,CUST0009,2026-07-19,2026-08-03,36585.0,33458.34,PAID
INV00293,CUST0014,2026-08-04,2026-08-19,47721.73,47721.73,PAID
INV00294,CUST0088,2026-07-29,2026-08-13,63088.01,63088.01,PAID
INV00295,CUST0017,2026-08-03,2026-08-18,94846.41,94846.41,PAID
INV00296,CUST0215,2026-07-06,2026-07-21,41589.53,41589.53,PAID
INV00297,CUST0032,2026-08-10,2026-08-25,14239.21,14239.21,PAID
INV00298,CUST0270,2026-07-21,2026-08-05,31718.38,31718.38,PAID
INV00299,CUST0280,2026-07-22,2026-08-06,67748.92,67748.92,PAID
INV00300,CUST0143,2026-07-31,2026-08-15,30200.67,30200.67,PAID
INV00301,CUST0251,2026-07-17,2026-08-01,48240.44,48240.44,PAID
INV00302,CUST0279,2026-07-24,2026-08-08,89628.17,89628.17,PAID
INV00303,CUST0022,2026-07-16,2026-07-31,95553.71,95553.71,PAID
INV00304,CUST0132,2026-08-15,2026-08-30,48168.39,48168.39,PAID
INV00305,CUST0140,2026-07-04,2026-07-19,11368.04,11368.04,PAID
INV00306,CUST0116,2026-08-05,2026-08-20,23667.24,23667.24,PAID
INV00307,CUST0052,2026-08-12,2026-08-27,82091.82,77191.22,PAID
INV00308,CUST0244,2026-07-26,2026-08-10,65228.6,65228.6,PAID
INV00309,CUST0046,2026-08-10,2026-08-25,57626.27,57626.27,PAID
INV00310,CUST0091,2026-07-02,2026-07-17,99718.59,99718.59,PAID
INV00311,CUST0149,2026-07-01,2026-07-16,1422.08,1422.08,PAID
INV00312,CUST0233,2026-08-10,2026-08-25,54558.4,54558.4,PAID
INV00313,CUST0099,2026-07-03,2026-07-18,33403.07,33403.07,PAID
INV00314,CUST0008,2026-08-16,2026-08-31,34042.66,34042.66,PAID
INV00315,CUST0208,2026-07-28,2026-08-12,51770.43,51770.43,PAID
INV00316,CUST0072,2026-07-28,2026-08-12,32698.37,32698.37,PAID
INV00317,CUST0229,2026-08-13,2026-08-28,27065.94,27065.94,PAID
INV00318,CUST0006,2026-07-17,2026-08-01,65541.5,65541.5,PAID
INV00319,CUST0158,2026-07-06,2026-07-21,40838.95,40838.95,PAID
INV00320,CUST0189,2026-08-06,2026-08-21,22474.5,22474.5,PAID
INV00321,CUST0192,2026-07-22,2026-08-06,70343.1,70343.1,PAID
INV00322,CUST0127,2026-08-09,2026-08-24,75596.59,75596.59,PAID
INV00323,CUST0186,2026-07-01,2026-07-16,91765.85,91765.85,PAID
INV00324,CUST0104,2026-08-02,2026-08-17,53897.69,53897.69,PAID
INV00325,CUST0060,2026-08-09,2026-08-24,20937.45,20937.45,PAID
INV00326,CUST0029,2026-07-30,2026-08-14,13628.46,13628.46,PAID
INV00327,CUST0237,2026-08-13,2026-08-28,80788.08,80788.08,PAID
INV00328,CUST0112,2026-08-07,2026-08-22,7766.44,7766.44,PAID
INV00329,CUST0031,2026-07-02,2026-07-17,98620.66,98620.66,PAID
INV00330,CUST0070,2026-08-16,2026-08-31,64331.74,64331.74,PAID
INV00331,CUST0194,2026-07-23,2026-08-07,8484.87,8484.87,PAID
INV00332,CUST0092,2026-08-03,2026-08-18,39609.33,39609.33,PAID
INV00333,CUST0012,2026-07-19,2026-08-03,46568.89,46568.89,PAID
INV00334,CUST0236,2026-07-18,2026-08-02,15934.58,15934.58,PAID
INV00335,CUST0017,2026-08-12,2026-08-27,42214.44,42214.44,PAID
INV00336,CUST0018,2026-07-29,2026-08-13,59979.6,59979.6,PAID
INV00337,CUST0225,2026-07-13,2026-07-28,54206.1,54206.1,PAID
INV00338,CUST0295,2026-07-20,2026-08-04,57958.74,57958.74,PAID
INV00339,CUST0267,2026-07-11,2026-07-26,41649.24,41649.24,PAID
INV00340,CUST0090,2026-08-08,2026-08-23,68035.64,68035.64,PAID
INV00341,CUST0196,2026-08-18,2026-09-02,52684.07,52684.07,PAID
INV00342,CUST0095,2026-08-16,2026-08-31,54023.86,54023.86,PAID
INV00343,CUST0074,2026-07-29,2026-08-13,94524.54,91516.75,PAID
INV00344,CUST0125,2026-07-15,2026-07-30,20732.0,20732.0,PAID
INV00345,CUST0275,2026-08-11,2026-08-26,83025.93,83025.93,PAID
INV00346,CUST0021,2026-07-03,2026-07-18,19222.25,19222.25,PAID
INV00347,CUST0008,2026-07-11,2026-07-26,93747.4,93747.4,PAID
INV00348,CUST0105,2026-07-23,2026-08-07,91555.08,91555.08,PAID
INV00349,CUST0274,2026-08-08,2026-08-23,36246.33,36246.33,PAID
INV00350,CUST0051,2026-08-14,2026-08-29,47214.3,47214.3,PAID
INV00351,CUST0212,2026-07-03,2026-07-18,56471.21,56471.21,PAID
INV00352,CUST0284,2026-08-06,2026-08-21,58124.72,58124.72,PAID
INV00353,CUST0118,2026-07-20,2026-08-04,57194.06,57194.06,PAID
INV00354,CUST0173,2026-07-14,2026-07-29,79842.01,76454.38,PAID
INV00355,CUST0087,2026-08-12,2026-08-27,79600.06,79600.06,PAID
INV00356,CUST0095,2026-08-04,2026-08-19,99037.19,99037.19,PAID
INV00357,CUST0025,2026-08-17,2026-09-01,1135.19,1135.19,PAID
